,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,,event_id,start_time,asset_name,manual_event_type,image_name,,,,,,parameters,values
0,0,-0.008149108,-0.008149108,-0.008149108,-0.008149108,-0.008149108,-0.008149108,,event_000,2022_06_01,test_000,test_label,harmonics_sample0801.png,,,,,,waveform frequency,60
1,0.010850694,0.025886096,0.025886096,0.025886096,0.025886096,0.025886096,0.025886096,,event_001,2022_06_01,test_001,test_label,sags_harmonics_sample0482.png,,,,,,signal duration in ms,166.6666667
2,0.021701389,0.044014894,0.044014894,0.044014894,0.044014894,0.044014894,0.044014894,,event_002,2022_06_01,test_002,test_label,swells_harmonics_sample0828.png,,,,,,signal sample per cycle,256
3,0.032552083,0.07250975,0.07250975,0.07250975,0.07250975,0.07250975,0.07250975,,event_003,2022_06_01,test_003,test_label,interruptions_harmonics_sample0437.png,,,,,,noise level in sd,0.005
4,0.043402778,0.100467732,0.100467732,0.100467732,0.100467732,0.100467732,0.100467732,,event_004,2022_06_01,test_004,test_label,harmonics_sample0183.png,,,,,,flicker alpha,0.2
5,0.054253472,0.127103711,0.127103711,0.127103711,0.127103711,0.127103711,0.127103711,,event_005,2022_06_01,test_005,test_label,spikes_sample015.png,,,,,,flicker beta,20
6,0.065104167,0.150878805,0.150878805,0.150878805,0.150878805,0.150878805,0.150878805,,event_006,2022_06_01,test_006,test_label,osc_transients_sample0330.png,,,,,,,
7,0.075954861,0.171116014,0.171116014,0.171116014,0.171116014,0.171116014,0.171116014,,event_007,2022_06_01,test_007,test_label,sags_harmonics_sample099.png,,,,,,,
8,0.086805556,0.198550724,0.198550724,0.198550724,0.198550724,0.198550724,0.198550724,,event_008,2022_06_01,test_008,test_label,osc_transients_sample0324.png,,,,,,,
9,0.09765625,0.213337811,0.213337811,0.213337811,0.213337811,0.213337811,0.213337811,,event_009,2022_06_01,test_009,test_label,spikes_sample0397.png,,,,,,,
10,0.108506944,0.25256752,0.25256752,0.25256752,0.25256752,0.25256752,0.25256752,,event_010,2022_06_01,test_010,test_label,spikes_sample0383.png,,,,,,,
11,0.119357639,0.279065608,0.279065608,0.279065608,0.279065608,0.279065608,0.279065608,,event_011,2022_06_01,test_011,test_label,sags_sample0877.png,,,,,,,
12,0.130208333,0.292449608,0.292449608,0.292449608,0.292449608,0.292449608,0.292449608,,event_012,2022_06_01,test_012,test_label,osc_transients_sample0456.png,,,,,,,
13,0.141059028,0.315323785,0.315323785,0.315323785,0.315323785,0.315323785,0.315323785,,event_013,2022_06_01,test_013,test_label,interruptions_harmonics_sample0351.png,,,,,,,
14,0.151909722,0.334985038,0.334985038,0.334985038,0.334985038,0.334985038,0.334985038,,event_014,2022_06_01,test_014,test_label,swells_harmonics_sample0182.png,,,,,,,
15,0.162760417,0.368033858,0.368033858,0.368033858,0.368033858,0.368033858,0.368033858,,event_015,2022_06_01,test_015,test_label,flickers_sample0259.png,,,,,,,
16,0.173611111,0.400586499,0.400586499,0.400586499,0.400586499,0.400586499,0.400586499,,event_016,2022_06_01,test_016,test_label,sags_harmonics_sample0483.png,,,,,,,
17,0.184461806,0.410414185,0.410414185,0.410414185,0.410414185,0.410414185,0.410414185,,event_017,2022_06_01,test_017,test_label,sags_sample0863.png,,,,,,,
18,0.1953125,0.435471602,0.435471602,0.435471602,0.435471602,0.435471602,0.435471602,,event_018,2022_06_01,test_018,test_label,harmonics_sample0182.png,,,,,,,
19,0.206163194,0.466841232,0.466841232,0.466841232,0.466841232,0.466841232,0.466841232,,event_019,2022_06_01,test_019,test_label,sags_sample0862.png,,,,,,,
20,0.217013889,0.488452307,0.488452307,0.488452307,0.488452307,0.488452307,0.488452307,,event_020,2022_06_01,test_020,test_label,interruptions_harmonics_sample0436.png,,,,,,,
21,0.227864583,0.506307424,0.506307424,0.506307424,0.506307424,0.506307424,0.506307424,,event_021,2022_06_01,test_021,test_label,flickers_sample056.png,,,,,,,
22,0.238715278,0.528411077,0.528411077,0.528411077,0.528411077,0.528411077,0.528411077,,event_022,2022_06_01,test_022,test_label,sags_harmonics_sample098.png,,,,,,,
23,0.249565972,0.553252857,0.553252857,0.553252857,0.553252857,0.553252857,0.553252857,,event_023,2022_06_01,test_023,test_label,spikes_sample0382.png,,,,,,,
24,0.260416667,0.572723492,0.572723492,0.572723492,0.572723492,0.572723492,0.572723492,,event_024,2022_06_01,test_024,test_label,swells_harmonics_sample0183.png,,,,,,,
25,0.271267361,0.611262665,0.611262665,0.611262665,0.611262665,0.611262665,0.611262665,,event_025,2022_06_01,test_025,test_label,flickers_sample0258.png,,,,,,,
26,0.282118056,0.615672799,0.615672799,0.615672799,0.615672799,0.615672799,0.615672799,,event_026,2022_06_01,test_026,test_label,harmonics_sample0828.png,,,,,,,
27,0.29296875,0.641212924,0.641212924,0.641212924,0.641212924,0.641212924,0.641212924,,event_027,2022_06_01,test_027,test_label,flickers_sample057.png,,,,,,,
28,0.303819444,0.66145414,0.66145414,0.66145414,0.66145414,0.66145414,0.66145414,,event_028,2022_06_01,test_028,test_label,interruptions_harmonics_sample0350.png,,,,,,,
29,0.314670139,0.681021495,0.681021495,0.681021495,0.681021495,0.681021495,0.681021495,,event_029,2022_06_01,test_029,test_label,osc_transients_sample0331.png,,,,,,,
30,0.325520833,0.717244904,0.717244904,0.717244904,0.717244904,0.717244904,0.717244904,,event_030,2022_06_01,test_030,test_label,osc_transients_sample0443.png,,,,,,,
31,0.336371528,0.732252212,0.732252212,0.732252212,0.732252212,0.732252212,0.732252212,,event_031,2022_06_01,test_031,test_label,interruptions_harmonics_sample0344.png,,,,,,,
32,0.347222222,0.741983996,0.741983996,0.741983996,0.741983996,0.741983996,0.741983996,,event_032,2022_06_01,test_032,test_label,osc_transients_sample0457.png,,,,,,,
33,0.358072917,0.758195848,0.758195848,0.758195848,0.758195848,0.758195848,0.758195848,,event_033,2022_06_01,test_033,test_label,spikes_sample014.png,,,,,,,
34,0.368923611,0.782733015,0.782733015,0.782733015,0.782733015,0.782733015,0.782733015,,event_034,2022_06_01,test_034,test_label,sags_sample0876.png,,,,,,,
35,0.379774306,0.793252289,0.793252289,0.793252289,0.793252289,0.793252289,0.793252289,,event_035,2022_06_01,test_035,test_label,interruptions_sample0179.png,,,,,,,
36,0.390625,0.8132004,0.8132004,0.8132004,0.8132004,0.8132004,0.8132004,,event_036,2022_06_01,test_036,test_label,osc_transients_sample0325.png,,,,,,,
37,0.401475694,0.836241082,0.836241082,0.836241082,0.836241082,0.836241082,0.836241082,,event_037,2022_06_01,test_037,test_label,sags_harmonics_sample0497.png,,,,,,,
38,0.412326389,0.854030855,0.854030855,0.854030855,0.854030855,0.854030855,0.854030855,,event_038,2022_06_01,test_038,test_label,interruptions_harmonics_sample0422.png,,,,,,,
39,0.423177083,0.867628474,0.867628474,0.867628474,0.867628474,0.867628474,0.867628474,,event_039,2022_06_01,test_039,test_label,swells_sample0149.png,,,,,,,
40,0.434027778,0.884648252,0.884648252,0.884648252,0.884648252,0.884648252,0.884648252,,event_040,2022_06_01,test_040,test_label,flickers_sample043.png,,,,,,,
41,0.444878472,0.901098819,0.901098819,0.901098819,0.901098819,0.901098819,0.901098819,,event_041,2022_06_01,test_041,test_label,swells_harmonics_sample0197.png,,,,,,,
42,0.455729167,0.910514955,0.910514955,0.910514955,0.910514955,0.910514955,0.910514955,,event_042,2022_06_01,test_042,test_label,harmonics_sample0196.png,,,,,,,
43,0.466579861,0.93737623,0.93737623,0.93737623,0.93737623,0.93737623,0.93737623,,event_043,2022_06_01,test_043,test_label,spikes_sample0396.png,,,,,,,
44,0.477430556,0.951806515,0.951806515,0.951806515,0.951806515,0.951806515,0.951806515,,event_044,2022_06_01,test_044,test_label,swells_harmonics_sample0829.png,,,,,,,
45,0.48828125,0.975033264,0.975033264,0.975033264,0.975033264,0.975033264,0.975033264,,event_045,2022_06_01,test_045,test_label,swells_sample0607.png,,,,,,,
46,0.499131944,0.974206136,0.974206136,0.974206136,0.974206136,0.974206136,0.974206136,,event_046,2022_06_01,test_046,test_label,swells_sample0161.png,,,,,,,
47,0.509982639,0.980289115,0.980289115,0.980289115,0.980289115,0.980289115,0.980289115,,event_047,2022_06_01,test_047,test_label,flickers_sample0502.png,,,,,,,
48,0.520833333,0.988457178,0.988457178,0.988457178,0.988457178,0.988457178,0.988457178,,event_048,2022_06_01,test_048,test_label,harmonics_sample0800.png,,,,,,,
49,0.531684028,0.997268194,0.997268194,0.997268194,0.997268194,0.997268194,0.997268194,,event_049,2022_06_01,test_049,test_label,spikes_sample028.png,,,,,,,
50,0.542534722,1.014484757,1.014484757,1.014484757,1.014484757,1.014484757,1.014484757,,event_050,2022_06_01,test_050,test_label,interruptions_sample0637.png,,,,,,,
51,0.553385417,1.020357222,1.020357222,1.020357222,1.020357222,1.020357222,1.020357222,,event_051,2022_06_01,test_051,test_label,sags_sample0686.png,,,,,,,
52,0.564236111,1.02960925,1.02960925,1.02960925,1.02960925,1.02960925,1.02960925,,event_052,2022_06_01,test_052,test_label,interruptions_sample0151.png,,,,,,,
53,0.575086806,1.049649824,1.049649824,1.049649824,1.049649824,1.049649824,1.049649824,,event_053,2022_06_01,test_053,test_label,swells_harmonics_sample0801.png,,,,,,,
54,0.5859375,1.05250553,1.05250553,1.05250553,1.05250553,1.05250553,1.05250553,,event_054,2022_06_01,test_054,test_label,interruptions_harmonics_sample0378.png,,,,,,,
55,0.596788194,1.051488728,1.051488728,1.051488728,1.051488728,1.051488728,1.051488728,,event_055,2022_06_01,test_055,test_label,flickers_sample0270.png,,,,,,,
56,0.607638889,1.056685169,1.056685169,1.056685169,1.056685169,1.056685169,1.056685169,,event_056,2022_06_01,test_056,test_label,harmonics_sample0814.png,,,,,,,
57,0.618489583,1.084562431,1.084562431,1.084562431,1.084562431,1.084562431,1.084562431,,event_057,2022_06_01,test_057,test_label,swells_sample0175.png,,,,,,,
58,0.629340278,1.085924231,1.085924231,1.085924231,1.085924231,1.085924231,1.085924231,,event_058,2022_06_01,test_058,test_label,swells_sample0613.png,,,,,,,
59,0.640190972,1.086647154,1.086647154,1.086647154,1.086647154,1.086647154,1.086647154,,event_059,2022_06_01,test_059,test_label,swells_harmonics_sample088.png,,,,,,,
60,0.651041667,1.083154074,1.083154074,1.083154074,1.083154074,1.083154074,1.083154074,,event_060,2022_06_01,test_060,test_label,flickers_sample0516.png,,,,,,,
61,0.661892361,1.0969116,1.0969116,1.0969116,1.0969116,1.0969116,1.0969116,,event_061,2022_06_01,test_061,test_label,flickers_sample0264.png,,,,,,,
62,0.672743056,1.096628252,1.096628252,1.096628252,1.096628252,1.096628252,1.096628252,,event_062,2022_06_01,test_062,test_label,sags_sample0692.png,,,,,,,
63,0.68359375,1.107425686,1.107425686,1.107425686,1.107425686,1.107425686,1.107425686,,event_063,2022_06_01,test_063,test_label,interruptions_sample0623.png,,,,,,,
64,0.694444444,1.09740823,1.09740823,1.09740823,1.09740823,1.09740823,1.09740823,,event_064,2022_06_01,test_064,test_label,interruptions_sample0145.png,,,,,,,
65,0.705295139,1.104711163,1.104711163,1.104711163,1.104711163,1.104711163,1.104711163,,event_065,2022_06_01,test_065,test_label,harmonics_sample0141.png,,,,,,,
66,0.716145833,1.09551018,1.09551018,1.09551018,1.09551018,1.09551018,1.09551018,,event_066,2022_06_01,test_066,test_label,sags_harmonics_sample0440.png,,,,,,,
67,0.726996528,1.096015393,1.096015393,1.096015393,1.096015393,1.096015393,1.096015393,,event_067,2022_06_01,test_067,test_label,osc_transients_sample0319.png,,,,,,,
68,0.737847222,1.098504206,1.098504206,1.098504206,1.098504206,1.098504206,1.098504206,,event_068,2022_06_01,test_068,test_label,swells_harmonics_sample0815.png,,,,,,,
69,0.748697917,1.104576166,1.104576166,1.104576166,1.104576166,1.104576166,1.104576166,,event_069,2022_06_01,test_069,test_label,interruptions_sample0810.png,,,,,,,
70,0.759548611,1.088225698,1.088225698,1.088225698,1.088225698,1.088225698,1.088225698,,event_070,2022_06_01,test_070,test_label,harmonics_sample0627.png,,,,,,,
71,0.770399306,1.092742246,1.092742246,1.092742246,1.092742246,1.092742246,1.092742246,,event_071,2022_06_01,test_071,test_label,spikes_sample0341.png,,,,,,,
