index,event_id,start_time,asset_name,manual_event_type,input_event_csv_filename,vab_flickers,vab_harmonics,vab_interruptions,vab_interruptions_harmonics,vab_osc_transients,vab_sags,vab_sags_harmonics,vab_spikes,vab_swells,vab_swells_harmonics,vbc_flickers,vbc_harmonics,vbc_interruptions,vbc_interruptions_harmonics,vbc_osc_transients,vbc_sags,vbc_sags_harmonics,vbc_spikes,vbc_swells,vbc_swells_harmonics,vca_flickers,vca_harmonics,vca_interruptions,vca_interruptions_harmonics,vca_osc_transients,vca_sags,vca_sags_harmonics,vca_spikes,vca_swells,vca_swells_harmonics,ia_flickers,ia_harmonics,ia_interruptions,ia_interruptions_harmonics,ia_osc_transients,ia_sags,ia_sags_harmonics,ia_spikes,ia_swells,ia_swells_harmonics,ib_flickers,ib_harmonics,ib_interruptions,ib_interruptions_harmonics,ib_osc_transients,ib_sags,ib_sags_harmonics,ib_spikes,ib_swells,ib_swells_harmonics,ic_flickers,ic_harmonics,ic_interruptions,ic_interruptions_harmonics,ic_osc_transients,ic_sags,ic_sags_harmonics,ic_spikes,ic_swells,ic_swells_harmonics
0,event_00,2022_06_28,test_000,test_label,input_event_sample00,5.11E-13,0.9993467,6.53E-13,0.000625856,2.51E-06,7.81E-11,1.27E-05,2.62E-11,2.83E-11,1.23E-05,5.11E-13,0.9993467,6.53E-13,0.000625856,2.51E-06,7.81E-11,1.27E-05,2.62E-11,2.83E-11,1.23E-05,5.11E-13,0.9993467,6.53E-13,0.000625856,2.51E-06,7.81E-11,1.27E-05,2.62E-11,2.83E-11,1.23E-05,5.11E-13,0.9993467,6.53E-13,0.000625856,2.51E-06,7.81E-11,1.27E-05,2.62E-11,2.83E-11,1.23E-05,5.11E-13,0.9993467,6.53E-13,0.000625856,2.51E-06,7.81E-11,1.27E-05,2.62E-11,2.83E-11,1.23E-05,5.11E-13,0.9993467,6.53E-13,0.000625856,2.51E-06,7.81E-11,1.27E-05,2.62E-11,2.83E-11,1.23E-05
1,event_01,2022_06_28,test_001,test_label,input_event_sample01,1.84E-27,8.18E-19,1.15E-23,5.66E-14,7.03E-13,1.19E-22,1,4.44E-25,3.65E-26,4.98E-18,1.84E-27,8.18E-19,1.15E-23,5.66E-14,7.03E-13,1.19E-22,1,4.44E-25,3.65E-26,4.98E-18,1.84E-27,8.18E-19,1.15E-23,5.66E-14,7.03E-13,1.19E-22,1,4.44E-25,3.65E-26,4.98E-18,1.84E-27,8.18E-19,1.15E-23,5.66E-14,7.03E-13,1.19E-22,1,4.44E-25,3.65E-26,4.98E-18,1.84E-27,8.18E-19,1.15E-23,5.66E-14,7.03E-13,1.19E-22,1,4.44E-25,3.65E-26,4.98E-18,1.84E-27,8.18E-19,1.15E-23,5.66E-14,7.03E-13,1.19E-22,1,4.44E-25,3.65E-26,4.98E-18
2,event_02,2022_06_28,test_002,test_label,input_event_sample02,1.94E-34,0,0,9.54E-33,1.27E-13,0,8.99E-37,0,1.68E-16,1,1.94E-34,0,0,9.54E-33,1.27E-13,0,8.99E-37,0,1.68E-16,1,1.94E-34,0,0,9.54E-33,1.27E-13,0,8.99E-37,0,1.68E-16,1,1.94E-34,0,0,9.54E-33,1.27E-13,0,8.99E-37,0,1.68E-16,1,1.94E-34,0,0,9.54E-33,1.27E-13,0,8.99E-37,0,1.68E-16,1,1.94E-34,0,0,9.54E-33,1.27E-13,0,8.99E-37,0,1.68E-16,1
3,event_03,2022_06_28,test_003,test_label,input_event_sample03,3.70E-08,9.84E-07,7.71E-06,0.14252914,7.17E-05,0.001747777,0.85564077,4.31E-09,9.73E-08,1.72E-06,3.70E-08,9.84E-07,7.71E-06,0.14252914,7.17E-05,0.001747777,0.85564077,4.31E-09,9.73E-08,1.72E-06,3.70E-08,9.84E-07,7.71E-06,0.14252914,7.17E-05,0.001747777,0.85564077,4.31E-09,9.73E-08,1.72E-06,3.70E-08,9.84E-07,7.71E-06,0.14252914,7.17E-05,0.001747777,0.85564077,4.31E-09,9.73E-08,1.72E-06,3.70E-08,9.84E-07,7.71E-06,0.14252914,7.17E-05,0.001747777,0.85564077,4.31E-09,9.73E-08,1.72E-06,3.70E-08,9.84E-07,7.71E-06,0.14252914,7.17E-05,0.001747777,0.85564077,4.31E-09,9.73E-08,1.72E-06
4,event_04,2022_06_28,test_004,test_label,input_event_sample04,7.50E-13,0.9993544,9.55E-13,0.000613584,2.37E-06,9.44E-11,1.42E-05,3.39E-11,3.53E-11,1.54E-05,7.50E-13,0.9993544,9.55E-13,0.000613584,2.37E-06,9.44E-11,1.42E-05,3.39E-11,3.53E-11,1.54E-05,7.50E-13,0.9993544,9.55E-13,0.000613584,2.37E-06,9.44E-11,1.42E-05,3.39E-11,3.53E-11,1.54E-05,7.50E-13,0.9993544,9.55E-13,0.000613584,2.37E-06,9.44E-11,1.42E-05,3.39E-11,3.53E-11,1.54E-05,7.50E-13,0.9993544,9.55E-13,0.000613584,2.37E-06,9.44E-11,1.42E-05,3.39E-11,3.53E-11,1.54E-05,7.50E-13,0.9993544,9.55E-13,0.000613584,2.37E-06,9.44E-11,1.42E-05,3.39E-11,3.53E-11,1.54E-05
5,event_05,2022_06_28,test_005,test_label,input_event_sample05,4.76E-08,5.55E-06,0.005404703,1.87E-06,0.000474536,9.27E-05,5.89E-08,0.99398476,3.49E-05,9.58E-07,4.76E-08,5.55E-06,0.005404703,1.87E-06,0.000474536,9.27E-05,5.89E-08,0.99398476,3.49E-05,9.58E-07,4.76E-08,5.55E-06,0.005404703,1.87E-06,0.000474536,9.27E-05,5.89E-08,0.99398476,3.49E-05,9.58E-07,4.76E-08,5.55E-06,0.005404703,1.87E-06,0.000474536,9.27E-05,5.89E-08,0.99398476,3.49E-05,9.58E-07,4.76E-08,5.55E-06,0.005404703,1.87E-06,0.000474536,9.27E-05,5.89E-08,0.99398476,3.49E-05,9.58E-07,4.76E-08,5.55E-06,0.005404703,1.87E-06,0.000474536,9.27E-05,5.89E-08,0.99398476,3.49E-05,9.58E-07
6,event_06,2022_06_28,test_006,test_label,input_event_sample06,0,0,0,0,1,0,1.60E-23,0,4.43E-19,1.13E-19,0,0,0,0,1,0,1.60E-23,0,4.43E-19,1.13E-19,0,0,0,0,1,0,1.60E-23,0,4.43E-19,1.13E-19,0,0,0,0,1,0,1.60E-23,0,4.43E-19,1.13E-19,0,0,0,0,1,0,1.60E-23,0,4.43E-19,1.13E-19,0,0,0,0,1,0,1.60E-23,0,4.43E-19,1.13E-19
7,event_07,2022_06_28,test_007,test_label,input_event_sample07,2.00E-18,1.41E-07,3.47E-19,2.18E-08,1.12E-11,1.78E-18,0.9999999,7.64E-15,2.64E-19,3.89E-09,2.00E-18,1.41E-07,3.47E-19,2.18E-08,1.12E-11,1.78E-18,0.9999999,7.64E-15,2.64E-19,3.89E-09,2.00E-18,1.41E-07,3.47E-19,2.18E-08,1.12E-11,1.78E-18,0.9999999,7.64E-15,2.64E-19,3.89E-09,2.00E-18,1.41E-07,3.47E-19,2.18E-08,1.12E-11,1.78E-18,0.9999999,7.64E-15,2.64E-19,3.89E-09,2.00E-18,1.41E-07,3.47E-19,2.18E-08,1.12E-11,1.78E-18,0.9999999,7.64E-15,2.64E-19,3.89E-09,2.00E-18,1.41E-07,3.47E-19,2.18E-08,1.12E-11,1.78E-18,0.9999999,7.64E-15,2.64E-19,3.89E-09
8,event_08,2022_06_28,test_008,test_label,input_event_sample08,0,0,0,0,1,0,1.03E-30,0,1.08E-22,6.59E-22,0,0,0,0,1,0,1.03E-30,0,1.08E-22,6.59E-22,0,0,0,0,1,0,1.03E-30,0,1.08E-22,6.59E-22,0,0,0,0,1,0,1.03E-30,0,1.08E-22,6.59E-22,0,0,0,0,1,0,1.03E-30,0,1.08E-22,6.59E-22,0,0,0,0,1,0,1.03E-30,0,1.08E-22,6.59E-22
9,event_09,2022_06_28,test_009,test_label,input_event_sample09,4.90E-11,1.64E-09,5.07E-07,3.68E-10,9.75E-05,1.36E-09,5.10E-08,0.99982613,7.58E-05,1.38E-07,4.90E-11,1.64E-09,5.07E-07,3.68E-10,9.75E-05,1.36E-09,5.10E-08,0.99982613,7.58E-05,1.38E-07,4.90E-11,1.64E-09,5.07E-07,3.68E-10,9.75E-05,1.36E-09,5.10E-08,0.99982613,7.58E-05,1.38E-07,4.90E-11,1.64E-09,5.07E-07,3.68E-10,9.75E-05,1.36E-09,5.10E-08,0.99982613,7.58E-05,1.38E-07,4.90E-11,1.64E-09,5.07E-07,3.68E-10,9.75E-05,1.36E-09,5.10E-08,0.99982613,7.58E-05,1.38E-07,4.90E-11,1.64E-09,5.07E-07,3.68E-10,9.75E-05,1.36E-09,5.10E-08,0.99982613,7.58E-05,1.38E-07
