,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,0,0,0,0,300,0
2,harmonics,0,296,0,0,0,0,0,0,0,4
3,interruptions,0,0,223,5,0,0,0,0,72,0
4,interruptions_harmonics,0,0,0,289,0,0,11,0,0,0
5,osc_transients,0,0,0,0,220,0,0,0,80,0
6,sags,25,0,28,2,107,10,75,0,53,0
7,sags_harmonics,0,0,0,27,0,0,273,0,0,0
8,spikes,0,0,0,0,1,0,0,12,287,0
9,swells,0,0,0,0,0,0,0,0,252,48
10,swells_harmonics,0,0,0,0,0,0,0,0,0,300
11,,,,,,,,,,,
12,Classification accuracy,0.62500,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.56963,,,,,,,,,
