event_id,start_time,asset_name,input_event_csv_filename,vab_flickers,vab_harmonics,vab_interruptions,vab_interruptions_harmonics,vab_osc_transients,vab_sags,vab_sags_harmonics,vab_spikes,vab_swells,vab_swells_harmonics,vbc_flickers,vbc_harmonics,vbc_interruptions,vbc_interruptions_harmonics,vbc_osc_transients,vbc_sags,vbc_sags_harmonics,vbc_spikes,vbc_swells,vbc_swells_harmonics,vca_flickers,vca_harmonics,vca_interruptions,vca_interruptions_harmonics,vca_osc_transients,vca_sags,vca_sags_harmonics,vca_spikes,vca_swells,vca_swells_harmonics,ia_flickers,ia_harmonics,ia_interruptions,ia_interruptions_harmonics,ia_osc_transients,ia_sags,ia_sags_harmonics,ia_spikes,ia_swells,ia_swells_harmonics,ib_flickers,ib_harmonics,ib_interruptions,ib_interruptions_harmonics,ib_osc_transients,ib_sags,ib_sags_harmonics,ib_spikes,ib_swells,ib_swells_harmonics,ic_flickers,ic_harmonics,ic_interruptions,ic_interruptions_harmonics,ic_osc_transients,ic_sags,ic_sags_harmonics,ic_spikes,ic_swells,ic_swells_harmonics
event_0957,58:58.7,Site0009_F_0000065,epri_event_0957,9.832454e-09,5.7846634e-18,9.053603e-06,1.5785895e-07,1.3545941e-06,4.752975e-10,1.0569467e-08,8.343445e-11,4.7548838e-08,0.9999894,1.4596328e-08,2.1298679e-18,1.0908646e-05,7.528239e-08,4.7161737e-07,9.534994e-11,4.789922e-09,5.2790616e-10,6.963333e-08,0.99998844,2.594713e-15,7.6730793e-26,3.479786e-12,4.47357e-10,4.1138972e-09,2.1541134e-16,5.9215804e-21,1.0992073e-15,2.1677853e-12,1.0,4.7260867e-36,0.0,5.228016e-26,3.624078e-33,1.4256938e-14,0.0,0.0,1.0566965e-33,2.6607362e-31,1.0,3.7587894e-37,0.0,5.1199456e-31,8.4973876e-38,2.7993306e-16,0.0,0.0,0.0,1.6880187e-38,1.0,3.3207894e-12,1.564815e-29,1.0889483e-12,2.8381931e-14,0.9999485,7.6727345e-13,3.3795692e-12,2.881104e-20,1.1558348e-08,5.1429557e-05
event_2826,15:44.9,Site0014,epri_event_2826,4.7385875e-17,2.94744e-21,3.060176e-12,0.2404609,2.4770747e-10,7.642187e-22,3.6959083e-18,1.9227413e-21,5.0190604e-08,0.75953895,2.301363e-18,5.492757e-21,2.552187e-14,0.27979892,6.477374e-13,6.802699e-23,4.7250815e-18,2.6413833e-20,6.6770007e-09,0.72020113,1.28777155e-14,2.565225e-21,1.1867178e-13,0.9797293,3.6363478e-11,1.1330192e-26,7.57359e-09,8.312967e-20,1.446149e-06,0.020269237,6.4808997e-28,6.405647e-33,9.933458e-25,8.733033e-18,5.9167593e-10,0.0,6.411872e-36,7.634777e-32,3.215409e-13,1.0,5.8045537e-15,7.186356e-18,9.543645e-18,0.0008529789,8.653155e-10,1.958885e-26,9.930108e-14,1.0169604e-14,9.021027e-05,0.9990569,4.3396874e-20,2.4759143e-22,2.838928e-17,0.9994746,5.5547235e-14,1.3525973e-28,9.596456e-18,2.2604975e-19,3.108334e-05,0.0004943392
event_3457,13:42.1,Site0006,epri_event_3457,2.2286996e-07,9.798935e-08,3.006497e-09,0.012938644,2.2332762e-09,1.6333843e-14,0.0019274984,4.4228568e-07,0.0013953227,0.9837378,3.6999932e-16,1.0051346e-20,3.397525e-13,2.326686e-08,7.634671e-07,1.0086895e-24,1.9554572e-24,6.688758e-18,1.983986e-06,0.99999714,4.443199e-12,2.526156e-11,1.0021134e-08,0.03241474,3.2631415e-06,2.2203938e-17,1.490562e-14,3.7193085e-11,0.0029869562,0.96459496,0.0035750584,1.5784037e-05,0.05410936,0.24249658,0.0032047427,4.2108673e-05,0.00030527808,8.222963e-05,0.035525292,0.6606436,9.583161e-27,0.0,1.3126917e-22,1.3722996e-12,1.0,1.0520903e-27,6.3670846e-10,0.0,7.2102366e-23,1.8015612e-15,3.296808e-21,8.8514446e-27,4.545514e-21,2.1703044e-14,0.947922,1.157675e-32,7.3247386e-19,3.326151e-22,4.0543603e-07,0.05207762
event_2761,1/30/2005 16:02:34.3770,Site0010,epri_event_2761,4.0807274e-10,2.7845584e-12,1.6223217e-07,8.1257023e-10,0.00034507262,0.012332215,0.9873226,1.12882854e-13,2.3595824e-14,4.2647767e-11,3.8755146e-09,2.4482003e-19,1.98164e-13,6.0642086e-12,9.66919e-10,2.4959618e-20,2.9239724e-18,1.6269697e-11,1.0,4.8332694e-08,0.017985215,5.872825e-07,0.025291167,2.6891857e-07,0.15269227,0.0055280724,4.370169e-07,0.31202394,0.4864711,7.0599735e-06,0.022519207,9.3634105e-09,0.02229088,8.973767e-05,0.00020996915,0.8200067,1.0661255e-08,2.6767859e-08,0.00077038707,0.13411312,3.7765087e-15,3.1401158e-16,2.9209103e-15,0.00065356964,8.8327155e-08,4.6654547e-27,3.9900664e-15,7.094713e-16,0.047626447,0.95171994,1.3726451e-27,5.328441e-35,7.329885e-35,1.4001775e-27,1.6898218e-09,0.0,1.8012825e-34,8.101693e-27,1.7966132e-11,1.0
event_2760,1/18/2005 05:41:21.5650,Site0010,epri_event_2760,0.002663741,5.1949867e-13,1.340999e-07,6.6498124e-10,0.00032885987,3.616618e-11,8.870898e-13,4.707971e-07,0.9968041,0.00020270015,0.0029387425,1.08660586e-07,0.00019221412,4.2136e-08,0.04320263,4.540224e-05,1.261633e-06,0.01201237,0.94160104,6.2252666e-06,1.877138e-07,1.8484488e-10,3.3556682e-06,2.7179473e-07,0.0005384011,0.99944955,1.6639001e-06,6.565031e-06,1.920106e-08,3.6815667e-10,1.29380945e-14,4.0794844e-23,3.5416572e-14,0.031170134,4.364358e-07,3.3672697e-24,6.427602e-17,3.3305246e-19,0.0041082134,0.9647212,5.4564893e-27,2.7222936e-33,5.1096543e-27,1.082336e-13,1.3259011e-09,0.0,1.4826621e-33,2.6247633e-26,8.6400714e-10,1.0,5.091368e-18,1.9871226e-22,7.4931393e-16,0.0007694591,6.2437183e-10,7.9234894e-30,2.9191354e-14,3.3834172e-17,0.00021439568,0.99901617
event_1057,23:23.6,Site0009_F_0000064,epri_event_1057,1.1734998e-07,6.1897636e-15,6.6101005e-05,1.0672943e-05,1.8410916e-05,4.4361435e-09,1.08354556e-07,4.0877747e-08,5.6013787e-06,0.9998989,3.286784e-07,6.882927e-15,0.000206741,6.679402e-07,1.6338961e-05,1.1174877e-08,4.3216815e-07,1.8084554e-08,3.1263282e-06,0.99977237,9.31115e-06,3.535967e-14,0.0031402202,7.3897085e-05,0.00018967857,1.5768912e-07,5.789138e-06,1.8806796e-07,5.4456497e-05,0.9965263,1.245685e-08,4.1572066e-09,1.0219878e-06,1.7889629e-07,1.5450074e-05,5.644508e-07,4.5516792e-08,4.2223896e-06,2.459059e-07,0.9999783,1.0889477e-09,1.8326588e-19,2.527086e-07,6.836044e-10,2.961344e-08,2.1126263e-12,6.24114e-12,3.233958e-13,1.6362761e-09,0.99999976,1.2449735e-11,2.4905222e-19,3.4858243e-08,1.8032739e-10,1.5756022e-07,7.583063e-14,5.4257896e-12,1.0548509e-12,1.3707971e-09,0.99999976
event_2827,11/20/2005 15:34:19.4350,Site0010,epri_event_2827,9.3277287e-20,7.471393e-23,2.9439758e-16,2.5522702e-11,5.6037176e-12,4.2797114e-27,4.4855555e-22,1.3896903e-18,6.7829503e-10,1.0,6.1178387e-09,3.3661873e-18,3.2857372e-08,0.7018983,0.21870364,3.320847e-06,0.07939473,5.3577927e-14,2.4389042e-08,2.0237145e-10,4.884866e-18,1.4938262e-29,2.982777e-20,1.4073875e-16,2.585123e-05,1.6010565e-32,1.332484e-29,6.6164304e-24,5.056118e-05,0.9999236,2.2450865e-32,0.0,5.1994796e-37,3.476869e-27,1.3288129e-06,0.0,1.4407464e-36,2.9161408e-31,1.5000341e-11,0.9999987,0.00044174233,6.981418e-07,0.0122748995,0.9424111,0.00029550996,9.3632014e-05,3.8659324e-05,3.427452e-06,0.009369848,0.035070404,2.7673265e-25,0.0,7.28428e-35,6.919939e-28,0.99999964,0.0,0.0,1.4569921e-35,2.8818857e-07,1.5117047e-08
event_0942,31:24.8,Site0009_F_0000065,epri_event_0942,3.926754e-09,1.3321876e-18,2.498544e-06,3.570677e-08,6.157811e-07,3.2303393e-11,3.7897e-09,4.0228174e-10,2.3882208e-08,0.9999969,2.5042798e-10,6.416694e-19,1.3219834e-09,5.1601368e-09,2.4260947e-08,7.929816e-12,4.5395212e-13,6.624528e-07,2.4307996e-09,0.9999993,3.956812e-09,3.156124e-18,6.0416965e-06,6.179918e-08,7.232346e-07,1.5786548e-10,7.915938e-09,7.616379e-11,4.624882e-08,0.9999932,6.1247758e-27,0.0,5.865417e-24,3.558013e-26,2.9726361e-05,4.1674427e-33,9.044206e-34,0.0,1.0028629e-36,0.9999703,0.011966901,0.0074154227,0.010803497,0.051656563,0.1990138,0.004825169,0.3468691,0.09784967,0.035726845,0.23387292,8.012268e-24,6.230522e-30,6.35645e-19,1.3173428e-13,6.1999906e-13,7.0575823e-28,7.3945494e-24,7.453946e-22,7.159167e-18,1.0
event_0001,10:34.5,Site0009_F_0000065,epri_event_0001,9.401437e-07,3.7347495e-15,0.00039310005,5.492323e-06,2.5650412e-05,4.173715e-08,1.0090089e-06,2.354385e-08,8.157955e-06,0.99956566,5.7383724e-18,2.5959914e-29,1.6945104e-14,3.4472144e-14,1.2085587e-11,4.4755806e-19,4.52631e-22,2.0128622e-16,4.4573224e-16,1.0,1.07585855e-07,2.4614716e-15,6.1454615e-05,3.2095264e-07,6.8675267e-06,7.028571e-09,2.9277967e-07,6.30489e-09,9.595234e-07,0.99993,9.101152e-22,8.748851e-30,2.0744444e-17,1.1929755e-19,1.0174339e-09,4.597106e-26,5.064445e-25,6.512806e-25,3.373432e-23,1.0,3.974911e-06,2.586456e-09,3.197132e-05,1.13634286e-07,0.18763776,0.00037266963,0.33354798,5.231723e-06,6.5384256e-06,0.47839367,2.1925004e-21,6.1611564e-29,2.5818256e-17,6.902553e-17,2.363507e-13,7.6843976e-23,1.333073e-23,2.0767633e-18,4.823278e-19,1.0
event_2825,15:44.9,Site0010,epri_event_2825,3.171566e-18,2.7406621e-24,2.399693e-10,0.19325647,2.1738342e-10,3.492349e-23,2.7930467e-22,1.1922904e-21,1.6828916e-07,0.8067434,1.9442897e-18,1.7636328e-22,3.50555e-11,0.47818375,3.4302203e-11,1.2677356e-23,8.8235025e-21,7.738708e-22,2.7691897e-08,0.5218162,2.6862403e-15,5.3206653e-24,4.802453e-11,0.9821432,2.6385852e-10,8.733048e-27,5.8737775e-13,1.6642713e-21,5.9760265e-07,0.017856153,3.664266e-26,9.156812e-27,1.657665e-21,3.6539703e-08,7.9351856e-14,0.0,4.6134487e-24,1.0154094e-25,1.1925338e-12,1.0,5.427533e-12,1.3453539e-17,1.4000027e-11,0.9930061,1.2123096e-06,1.7433208e-20,6.5437246e-07,2.1965884e-12,0.0065660803,0.00042589422,3.5324831e-16,5.7351994e-19,1.291547e-15,0.9888065,1.8174948e-10,1.1130336e-25,1.6436858e-15,2.8807402e-18,2.441532e-05,0.011169128
