,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,42,0,0,0,0,258
2,harmonics,0,26,0,0,110,0,0,24,0,140
3,interruptions,0,0,28,209,36,0,23,0,0,4
4,interruptions_harmonics,0,0,15,261,7,0,7,1,0,9
5,osc_transients,0,0,0,1,216,0,0,0,0,83
6,sags,0,0,3,17,79,1,105,7,0,88
7,sags_harmonics,0,7,3,33,77,3,106,34,0,37
8,spikes,0,0,0,0,127,0,0,7,0,166
9,swells,0,0,0,0,175,0,0,2,0,123
10,swells_harmonics,0,2,0,0,106,0,0,3,0,189
11,,,,,,,,,,,
12,Classification accuracy,0.27800,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.19964,,,,,,,,,
