event_id,start_time,asset_name,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,asset_name,datetime
event_3427,10/18/2005 23:07:40.5540,Site0006,0,161.6510925,-8368.3125,8488.987305,181.9275055,-342.6556091,167.7291107,Site0006,10/18/2005 23:07:40.5540
,,,0.000130242,621.7349854,-8579.070313,8253.181641,189.302948,-343.879364,153.0375061,Site0006,10/18/2005 23:07:40.5540
,,,0.000260484,1156.427124,-8839.417969,8004.96582,196.6783905,-342.6556091,137.1215973,Site0006,10/18/2005 23:07:40.5540
,,,0.000390727,1628.945679,-9062.572266,7719.517578,204.053833,-342.6556091,121.2057037,Site0006,10/18/2005 23:07:40.5540
,,,0.000520969,2064.160156,-9223.740234,7396.836914,210.2000275,-338.9842834,104.065506,Site0006,10/18/2005 23:07:40.5540
,,,0.000651211,2524.244141,-9409.702148,7074.155762,217.57547,-334.0892029,86.9253006,Site0006,10/18/2005 23:07:40.5540
,,,0.000781453,2984.328125,-9558.472656,6689.421387,223.7216644,-327.9703674,68.56079865,Site0006,10/18/2005 23:07:40.5540
,,,0.000911696,3407.10791,-9732.037109,6366.740234,231.0971069,-320.6277466,50.19630051,Site0006,10/18/2005 23:07:40.5540
,,,0.001041938,3829.887695,-9769.230469,5982.005371,238.4725494,-313.2851257,31.83180046,Site0006,10/18/2005 23:07:40.5540
,,,0.00117218,4252.66748,-9831.217773,5597.270996,245.8479919,-304.71875,13.46730042,Site0006,10/18/2005 23:07:40.5540
,,,0.001302422,4700.316406,-9831.217773,5187.714355,250.7649536,-294.9285889,-6.121500015,Site0006,10/18/2005 23:07:40.5540
,,,0.001432665,5110.661621,-9831.217773,4765.74707,258.1403809,-285.1384277,-25.71030045,Site0006,10/18/2005 23:07:40.5540
,,,0.001562907,5508.572266,-9806.422852,4331.369141,264.2865906,-272.9007263,-46.52339935,Site0006,10/18/2005 23:07:40.5540
,,,0.001693149,5906.482422,-9806.422852,3859.758789,269.2035522,-261.8867798,-66.11219788,Site0006,10/18/2005 23:07:40.5540
,,,0.001823391,6229.784668,-9756.833008,3400.559082,272.8912659,-249.6490784,-85.70100403,Site0006,10/18/2005 23:07:40.5540
,,,0.001953634,6553.086914,-9645.254883,2854.483887,277.8082275,-233.7400818,-101.6169052,Site0006,10/18/2005 23:07:40.5540
,,,0.002083876,6863.95459,-9533.677734,2345.641113,280.2666931,-219.0548401,-117.5328064,Site0006,10/18/2005 23:07:40.5540
,,,0.002214118,7212.125977,-9409.702148,1787.155151,283.9544373,-203.1458282,-131.0001068,Site0006,10/18/2005 23:07:40.5540
,,,0.00234436,7485.689453,-9285.727539,1290.723145,287.6421509,-187.2368164,-143.243103,Site0006,10/18/2005 23:07:40.5540
,,,0.002474603,7784.12207,-9087.367188,794.2911987,288.8713989,-171.3278046,-155.4860992,Site0006,10/18/2005 23:07:40.5540
,,,0.002604845,8045.250977,-8913.802734,297.8591919,290.1006165,-155.4187927,-161.607605,Site0006,10/18/2005 23:07:40.5540
,,,0.002735087,8318.814453,-8653.455078,-198.5727997,290.1006165,-139.5097809,-171.4020081,Site0006,10/18/2005 23:07:40.5540
,,,0.002865329,8555.073242,-8417.902344,-682.5939941,287.6421509,-122.3769989,-177.5234985,Site0006,10/18/2005 23:07:40.5540
,,,0.002995572,8816.202148,-8169.952637,-1191.436768,286.4129028,-105.2442245,-184.8693085,Site0006,10/18/2005 23:07:40.5540
,,,0.003125814,9027.591797,-7884.810059,-1675.458008,282.7251892,-88.11144257,-190.990799,Site0006,10/18/2005 23:07:40.5540
,,,0.003256056,9214.112305,-7574.872559,-2109.835938,277.8082275,-69.75489044,-195.8880005,Site0006,10/18/2005 23:07:40.5540
,,,0.003386298,9400.632813,-7240.140137,-2556.624756,271.6620178,-52.62211227,-200.785202,Site0006,10/18/2005 23:07:40.5540
,,,0.003516541,9549.849609,-6893.010254,-3015.824463,265.5158386,-34.26556015,-205.6824036,Site0006,10/18/2005 23:07:40.5540
,,,0.003646783,9699.066406,-6545.879883,-3450.202393,256.9111328,-17.13278008,-213.0281982,Site0006,10/18/2005 23:07:40.5540
,,,0.003777025,9773.673828,-6173.955078,-3859.758789,248.3064728,0,-219.149704,Site0006,10/18/2005 23:07:40.5540
,,,0.003907267,9848.282227,-5839.222656,-4281.726074,240.9310303,15.90900993,-225.2712097,Site0006,10/18/2005 23:07:40.5540
,,,0.00403751,9873.151367,-5430.10498,-4703.693359,233.5555878,30.59424973,-231.3927002,Site0006,10/18/2005 23:07:40.5540
,,,0.004167752,9860.716797,-4983.794922,-5100.838867,224.9509125,47.72703171,-238.7385101,Site0006,10/18/2005 23:07:40.5540
,,,0.004297994,9848.282227,-4537.484863,-5510.39502,216.3462219,66.08358002,-244.8600006,Site0006,10/18/2005 23:07:40.5540
,,,0.004428236,9848.282227,-4115.970215,-5882.719238,208.9707947,83.216362,-252.2058105,Site0006,10/18/2005 23:07:40.5540
,,,0.004558479,9773.673828,-3632.467529,-6217.810547,199.1368713,96.67783356,-259.5516052,Site0006,10/18/2005 23:07:40.5540
,,,0.004688721,9711.500977,-3173.76001,-6503.259277,190.532196,111.3630753,-264.4487915,Site0006,10/18/2005 23:07:40.5540
,,,0.004818963,9624.458008,-2665.462402,-6838.350586,180.6982727,124.8245392,-271.7946167,Site0006,10/18/2005 23:07:40.5540
,,,0.004949205,9487.675781,-2157.165039,-7173.442383,169.6351166,138.2860107,-279.1404114,Site0006,10/18/2005 23:07:40.5540
,,,0.005079448,9363.329102,-1636.469971,-7471.301758,157.3427124,151.7474823,-284.0375977,Site0006,10/18/2005 23:07:40.5540
,,,0.00520969,9189.243164,-1152.967529,-7781.571777,145.0503082,162.7614136,-292.6076965,Site0006,10/18/2005 23:07:40.5540
,,,0.005339932,9002.722656,-669.4650269,-8017.376953,132.7579193,173.7753448,-295.0563049,Site0006,10/18/2005 23:07:40.5540
,,,0.005470174,8778.898438,-173.5650024,-8290.414063,118.0070343,184.7892761,-299.9535217,Site0006,10/18/2005 23:07:40.5540
,,,0.005600417,8530.204102,322.3349915,-8526.219727,102.0269165,195.8032074,-299.9535217,Site0006,10/18/2005 23:07:40.5540
,,,0.005730659,8293.945313,818.2349854,-8799.256836,86.04679871,206.8171387,-302.4020996,Site0006,10/18/2005 23:07:40.5540
,,,0.005860901,8007.946777,1301.737549,-9022.651367,68.83743286,216.6072998,-302.4020996,Site0006,10/18/2005 23:07:40.5540
,,,0.005991143,7721.94873,1772.842529,-9221.224609,51.62807846,225.1736908,-302.4020996,Site0006,10/18/2005 23:07:40.5540
,,,0.006121386,7411.081055,2206.755127,-9382.564453,35.64795685,234.9638367,-297.5049133,Site0006,10/18/2005 23:07:40.5540
,,,0.006251628,7050.475098,2665.462402,-9556.316406,19.66783905,242.3064575,-295.0563049,Site0006,10/18/2005 23:07:40.5540
,,,0.00638187,6664.999023,3111.772461,-9692.834961,2.458479881,252.0966187,-290.1591187,Site0006,10/18/2005 23:07:40.5540
,,,0.006512112,6316.827637,3558.08252,-9779.709961,-12.29239941,261.8867798,-285.2619019,Site0006,10/18/2005 23:07:40.5540
,,,0.006642355,5968.65625,3967.199951,-9854.174805,-28.27251816,270.453186,-281.5890198,Site0006,10/18/2005 23:07:40.5540
,,,0.006772597,5583.180176,4388.714844,-9891.407227,-43.02339935,276.5720215,-275.4674988,Site0006,10/18/2005 23:07:40.5540
,,,0.006902839,5147.96582,4835.024902,-9878.99707,-59.00351715,283.9146423,-269.3460083,Site0006,10/18/2005 23:07:40.5540
,,,0.007033081,4725.186035,5231.745117,-9878.99707,-74.98363495,291.2572632,-263.2245178,Site0006,10/18/2005 23:07:40.5540
,,,0.007163324,4302.40625,5616.067383,-9878.99707,-88.50527954,297.3761292,-255.8787079,Site0006,10/18/2005 23:07:40.5540
,,,0.007293566,3792.583496,5987.992676,-9804.532227,-104.4853973,304.71875,-248.5328979,Site0006,10/18/2005 23:07:40.5540
,,,0.007423808,3357.368896,6310.327637,-9754.888672,-116.7777939,309.6138306,-242.4114075,Site0006,10/18/2005 23:07:40.5540
,,,0.00755405,2847.546387,6607.867676,-9630.78125,-127.8409576,315.732666,-233.8413086,Site0006,10/18/2005 23:07:40.5540
,,,0.007684293,2337.723633,6917.805176,-9506.672852,-140.1333466,319.4039612,-224.0469055,Site0006,10/18/2005 23:07:40.5540
,,,0.007814535,1790.596802,7277.33252,-9382.564453,-149.9672699,325.5228271,-213.0281982,Site0006,10/18/2005 23:07:40.5540
,,,0.007944777,1342.947632,7550.077637,-9233.634766,-158.5719452,331.6416626,-203.2338104,Site0006,10/18/2005 23:07:40.5540
,,,0.008075019,820.6901855,7822.822754,-9035.0625,-167.1766357,336.5367432,-192.2151031,Site0006,10/18/2005 23:07:40.5540
,,,0.008205262,335.736908,8070.772461,-8799.256836,-175.781311,337.7605286,-181.1964111,Site0006,10/18/2005 23:07:40.5540
,,,0.008335504,-174.0858002,8331.120117,-8551.041016,-181.9275055,338.9842834,-167.7291107,Site0006,10/18/2005 23:07:40.5540
,,,0.008465746,-659.0391235,8566.672852,-8315.236328,-189.302948,338.9842834,-154.2618103,Site0006,10/18/2005 23:07:40.5540
,,,0.008595988,-1156.427124,8814.62207,-8067.02002,-196.6783905,340.2080688,-137.1215973,Site0006,10/18/2005 23:07:40.5540
,,,0.00872623,-1653.815063,9037.777344,-7769.160645,-204.053833,338.9842834,-122.4300003,Site0006,10/18/2005 23:07:40.5540
,,,0.008856473,-2064.160156,9211.342773,-7471.301758,-208.9707947,335.3129883,-106.5140991,Site0006,10/18/2005 23:07:40.5540
,,,0.008986715,-2549.113525,9372.509766,-7123.799316,-217.57547,330.4179077,-88.1496048,Site0006,10/18/2005 23:07:40.5540
,,,0.009116957,-2996.762695,9533.677734,-6739.064453,-223.7216644,323.0752869,-69.78510284,Site0006,10/18/2005 23:07:40.5540
,,,0.009247199,-3419.54248,9682.447266,-6416.383789,-232.326355,318.1802063,-51.42060089,Site0006,10/18/2005 23:07:40.5540
,,,0.009377442,-3842.322266,9732.037109,-6056.470215,-238.4725494,309.6138306,-31.83180046,Site0006,10/18/2005 23:07:40.5540
,,,0.009507684,-4277.536621,9794.025391,-5671.735352,-244.6187439,301.0474243,-13.46730042,Site0006,10/18/2005 23:07:40.5540
,,,0.009637926,-4700.316406,9806.422852,-5237.357422,-250.7649536,291.2572632,3.6729002,Site0006,10/18/2005 23:07:40.5540
,,,0.009768168,-5123.096191,9806.422852,-4802.979492,-256.9111328,280.2433472,24.48600006,Site0006,10/18/2005 23:07:40.5540
,,,0.009898411,-5533.441406,9769.230469,-4393.42334,-263.0573425,270.453186,44.0748024,Site0006,10/18/2005 23:07:40.5540
,,,0.010028653,-5918.916992,9769.230469,-3909.4021,-270.4328003,258.2154846,64.88790131,Site0006,10/18/2005 23:07:40.5540
,,,0.010158895,-6242.219238,9694.844727,-3450.202393,-274.1205139,245.9777679,84.47669983,Site0006,10/18/2005 23:07:40.5540
,,,0.010289137,-6565.521484,9620.459961,-2953.770508,-276.5789795,232.5163116,100.392601,Site0006,10/18/2005 23:07:40.5540
,,,0.01041938,-6888.82373,9521.280273,-2432.516846,-279.0374756,217.8310699,115.0842056,Site0006,10/18/2005 23:07:40.5540
,,,0.010549622,-7224.560547,9397.304688,-1874.030762,-283.9544373,201.9220581,129.7758026,Site0006,10/18/2005 23:07:40.5540
,,,0.010679864,-7510.558594,9273.330078,-1377.598755,-287.6421509,186.0130463,142.0187988,Site0006,10/18/2005 23:07:40.5540
,,,0.010810106,-7796.557129,9074.969727,-868.7559814,-290.1006165,170.1040344,153.0375061,Site0006,10/18/2005 23:07:40.5540
,,,0.010940349,-8057.685547,8889.007813,-372.3240051,-290.1006165,154.1950226,161.607605,Site0006,10/18/2005 23:07:40.5540
,,,0.011070591,-8331.249023,8628.660156,161.3403931,-290.1006165,137.0622406,171.4020081,Site0006,10/18/2005 23:07:40.5540
,,,0.011200833,-8567.508789,8380.709961,645.3615723,-287.6421509,118.7056885,177.5234985,Site0006,10/18/2005 23:07:40.5540
,,,0.011331075,-8828.636719,8120.362305,1141.793579,-285.1836548,101.5729141,184.8693085,Site0006,10/18/2005 23:07:40.5540
,,,0.011461318,-9040.027344,7860.015137,1638.225586,-282.7251892,84.44013214,192.2151031,Site0006,10/18/2005 23:07:40.5540
,,,0.01159156,-9226.547852,7550.077637,2060.192871,-279.0374756,66.08358002,197.1123047,Site0006,10/18/2005 23:07:40.5540
,,,0.011721802,-9400.632813,7215.345215,2519.392334,-271.6620178,48.95080185,203.2338104,Site0006,10/18/2005 23:07:40.5540
,,,0.011852044,-9562.28418,6855.817383,2991.002686,-264.2865906,31.81801987,206.9067078,Site0006,10/18/2005 23:07:40.5540
,,,0.011982287,-9723.935547,6521.084961,3425.380859,-258.1403809,15.90900993,213.0281982,Site0006,10/18/2005 23:07:40.5540
,,,0.012112529,-9786.109375,6136.762695,3822.526367,-248.3064728,-1.223770022,219.149704,Site0006,10/18/2005 23:07:40.5540
,,,0.012242771,-9860.716797,5802.029785,4244.493652,-242.1602631,-17.13278008,225.2712097,Site0006,10/18/2005 23:07:40.5540
,,,0.012373013,-9898.021484,5405.310059,4654.049805,-233.5555878,-33.04179001,230.1684113,Site0006,10/18/2005 23:07:40.5540
,,,0.012503256,-9885.586914,4959,5076.01709,-224.9509125,-50.17457199,237.5142059,Site0006,10/18/2005 23:07:40.5540
,,,0.012633498,-9860.716797,4512.689941,5460.751953,-217.57547,-66.08358002,243.6357117,Site0006,10/18/2005 23:07:40.5540
,,,0.01276374,-9860.716797,4091.175049,5833.076172,-208.9707947,-83.216362,250.9815063,Site0006,10/18/2005 23:07:40.5540
