,0,1,2,3,4,5,6,7,8,9,10
0,category,flickers,harmonics,interruptions,interruptions_harmonics,osc_transients,sags,sags_harmonics,spikes,swells,swells_harmonics
1,flickers,0,0,0,0,42,258,0,0,0,0
2,harmonics,0,300,0,0,0,0,0,0,0,0
3,interruptions,0,0,14,0,0,286,0,0,0,0
4,interruptions_harmonics,0,0,0,243,1,0,56,0,0,0
5,osc_transients,0,0,0,0,277,22,1,0,0,0
6,sags,0,0,0,0,0,300,0,0,0,0
7,sags_harmonics,0,0,0,6,0,0,294,0,0,0
8,spikes,0,0,0,0,75,212,11,0,0,2
9,swells,5,0,0,0,192,70,0,0,32,1
10,swells_harmonics,0,0,0,0,0,0,14,0,0,286
11,,,,,,,,,,,
12,Classification accuracy,0.58200,,,,,,,,,
13,,,,,,,,,,,
14,Macro-F1 score,0.50471,,,,,,,,,
