event_id,start_time,asset_name,manual_event_type,input_event_csv_filename,vab_flickers,vab_harmonics,vab_interruptions,vab_interruptions_harmonics,vab_osc_transients,vab_sags,vab_sags_harmonics,vab_spikes,vab_swells,vab_swells_harmonics,vbc_flickers,vbc_harmonics,vbc_interruptions,vbc_interruptions_harmonics,vbc_osc_transients,vbc_sags,vbc_sags_harmonics,vbc_spikes,vbc_swells,vbc_swells_harmonics,vca_flickers,vca_harmonics,vca_interruptions,vca_interruptions_harmonics,vca_osc_transients,vca_sags,vca_sags_harmonics,vca_spikes,vca_swells,vca_swells_harmonics,ia_flickers,ia_harmonics,ia_interruptions,ia_interruptions_harmonics,ia_osc_transients,ia_sags,ia_sags_harmonics,ia_spikes,ia_swells,ia_swells_harmonics,ib_flickers,ib_harmonics,ib_interruptions,ib_interruptions_harmonics,ib_osc_transients,ib_sags,ib_sags_harmonics,ib_spikes,ib_swells,ib_swells_harmonics,ic_flickers,ic_harmonics,ic_interruptions,ic_interruptions_harmonics,ic_osc_transients,ic_sags,ic_sags_harmonics,ic_spikes,ic_swells,ic_swells_harmonics
event_087,2022-06-29,test_087,test_label,input_event_sample087,1.0020457e-17,6.4556024e-22,1.6738847e-17,2.0705318e-16,1.6128469e-07,1.5085662e-22,2.975471e-19,2.9818605e-09,0.9999999,3.1152627e-09,9.126989e-21,1.3963764e-24,6.6872785e-16,1.0355947e-17,1.4997772e-09,4.4025216e-23,1.0131689e-18,9.157979e-09,1.0,6.427706e-13,1.1539164e-10,2.2394706e-11,1.0705005e-05,5.068689e-08,0.00022774954,3.0503277e-11,5.3207977e-10,0.00013197484,0.9995359,9.368053e-05,1.2881071e-10,3.5694048e-12,2.4967838e-07,5.2239785e-10,1.5532038e-05,3.2691662e-12,2.3768238e-09,0.0008903135,0.9990938,1.6911058e-07,1.0813514e-07,4.857539e-20,1.3830698e-14,2.849709e-15,1.8564789e-07,1.3505072e-19,1.4116018e-15,4.95849e-06,0.99999475,2.363904e-10,7.135342e-08,2.6151399e-20,8.26063e-15,1.5329908e-15,1.3326672e-07,1.0060254e-19,6.2686706e-16,6.2205304e-06,0.99999356,2.942153e-10
event_093,2022-06-29,test_093,test_label,input_event_sample093,4.9354012e-18,2.691207e-12,1.8306409e-18,6.9679134e-09,1.4124774e-10,3.4650793e-10,1.0,1.4548649e-21,7.1732385e-20,5.2259544e-14,8.898334e-16,2.1614833e-06,7.500575e-18,1.942256e-05,6.6559545e-09,2.588901e-16,0.99977213,1.8166793e-12,1.4656104e-15,0.00020629937,6.427808e-11,2.8023194e-06,1.5291354e-09,2.8877817e-05,1.28991915e-05,3.2341916e-06,0.99995196,1.963221e-12,8.965098e-13,2.1864118e-07,1.2634657e-18,2.2926104e-11,2.6776958e-19,6.8482736e-10,1.9429401e-10,6.1364077e-15,1.0,9.802476e-22,3.5028437e-21,8.885947e-15,5.3537273e-14,3.788246e-10,7.781322e-15,2.3368499e-05,2.2654179e-08,5.150278e-07,0.99997616,8.58282e-18,3.836237e-17,2.1551032e-11,1.4331754e-25,2.2518149e-16,2.1304873e-24,3.0310535e-10,2.2017887e-12,1.2920452e-21,1.0,2.4350465e-21,1.852065e-25,7.707004e-15
event_00,2022-06-29,test_00,test_label,input_event_sample00,0.9998784,9.645006e-18,3.9987597e-20,1.6153818e-14,0.00012140947,8.17181e-13,3.210374e-20,2.8091247e-20,5.6917933e-08,1.7682668e-08,0.99999917,1.4285173e-19,1.2451661e-13,6.299009e-15,8.3492904e-07,9.455694e-12,3.446303e-11,4.637779e-16,4.6113623e-08,3.4361522e-13,0.9999988,4.65649e-19,1.6401271e-13,1.0769636e-14,1.0157084e-06,1.5041886e-11,5.782433e-11,1.3718511e-15,8.374674e-08,8.556654e-13,0.99999905,2.0998302e-19,1.334437e-13,7.320787e-15,8.827181e-07,1.2642741e-11,4.0976004e-11,8.533858e-16,8.1913726e-08,8.6877413e-13,1.0,7.438094e-30,1.2273828e-29,3.102189e-20,9.3972465e-09,9.735505e-23,5.158706e-23,4.1725605e-26,1.0892417e-11,8.353641e-12,0.9999989,4.797802e-19,2.8336803e-13,9.7155e-15,9.155036e-07,1.6040464e-11,6.110159e-11,1.4485988e-15,7.75542e-08,6.095207e-13
event_0289,2022-06-29,test_0289,test_label,input_event_sample0289,3.110498e-13,0.99992466,1.14005265e-14,5.5436678e-05,3.4330012e-09,3.4644711e-12,1.7736902e-05,1.0796895e-13,7.7414227e-16,2.1976753e-06,2.014238e-07,0.9986444,2.5081755e-07,0.0002846732,7.8338e-05,2.1490645e-07,0.00080523326,3.2211046e-05,8.112836e-07,0.00015359471,5.72154e-13,0.99963856,3.908954e-13,0.00033978568,1.5017388e-06,1.01495715e-10,1.1901033e-05,1.8234912e-11,1.7911334e-11,8.392922e-06,5.3558346e-13,0.9993661,7.916528e-13,0.00060744904,2.2407492e-06,8.64123e-11,1.1342604e-05,1.9096726e-11,3.0746794e-11,1.2860751e-05,4.1063615e-13,0.9999254,1.4043829e-14,5.6421475e-05,4.0812975e-09,5.2821675e-12,1.6036212e-05,1.4847795e-13,8.7430894e-16,2.1626229e-06,1.6197211e-07,0.9987997,2.1367822e-07,0.00024228428,6.371028e-05,2.1721732e-07,0.0007284284,2.767162e-05,6.9145045e-07,0.00013699706
event_044,2022-06-29,test_044,test_label,input_event_sample044,4.1293536e-23,6.3929756e-26,1.0640085e-35,5.573875e-29,3.3028162e-13,0.0,4.707521e-27,1.9373019e-31,7.72363e-08,0.9999999,9.394123e-25,9.737879e-16,3.7556676e-28,6.488849e-18,4.5579157e-10,7.502497e-30,3.236754e-17,6.3370727e-29,2.7465573e-17,1.0,2.0448947e-32,3.829725e-29,1.3214263e-33,1.0156206e-21,3.2528755e-10,0.0,3.846055e-26,3.397619e-32,1.1303727e-22,1.0,1.157249e-15,5.0840505e-11,9.994264e-19,8.9024427e-10,1.0160885e-08,3.3677653e-21,5.2982953e-15,1.3717836e-24,1.87182e-11,1.0,2.275655e-33,7.134522e-33,0.0,1.0963214e-31,3.7132497e-10,0.0,1.920402e-30,0.0,5.7039116e-18,1.0,2.9363191e-21,2.9332958e-14,5.127017e-25,8.996076e-12,1.6576127e-08,5.57688e-27,2.204502e-13,3.1718295e-22,1.5758974e-18,1.0
event_0262,2022-06-29,test_0262,test_label,input_event_sample0262,2.8387486e-09,3.5757756e-07,3.1698626e-05,1.8335838e-07,0.000119725235,3.4825322e-07,7.2535347e-09,0.999846,1.5143162e-06,1.7475895e-08,1.0829043e-08,8.0294775e-09,1.2110681e-07,1.3387626e-08,2.146546e-05,8.4836294e-10,1.2067923e-10,0.9999064,7.1588045e-05,3.787359e-07,1.20739e-06,6.109632e-08,6.514413e-05,9.8239106e-08,0.0012306767,1.2966882e-07,2.9893406e-09,0.99541664,0.0032843736,1.6446896e-06,1.2305715e-08,2.472197e-07,9.533378e-06,6.233561e-08,0.00058334315,2.2243631e-07,1.2281071e-08,0.9993931,1.3323574e-05,3.055457e-08,1.8757525e-08,1.4992132e-06,1.8387122e-05,2.7595059e-08,0.00083950843,1.064207e-06,3.912759e-09,0.99907255,6.526122e-05,1.625155e-06,2.6373026e-09,6.4563416e-08,7.74409e-05,6.048409e-08,0.00020009285,1.6325199e-06,8.167758e-09,0.9996513,6.882988e-05,5.4119096e-07
event_0276,2022-06-29,test_0276,test_label,input_event_sample0276,7.3079763e-16,6.1122325e-19,1.1491392e-06,3.4349495e-11,1.2757576e-05,0.9999838,2.2594156e-06,1.745915e-11,3.0658083e-14,2.1430374e-17,2.059052e-13,4.4673052e-21,9.1094313e-07,1.1529644e-11,6.605905e-07,0.9978855,0.0021129174,2.4637893e-13,9.501391e-12,3.7078067e-15,3.1456348e-11,1.9113766e-15,4.4760884e-05,1.5320246e-08,5.359274e-06,0.9994093,0.0005405595,4.4073776e-09,9.6800665e-09,8.073406e-12,6.56534e-11,2.6786353e-09,0.0006387046,5.358771e-07,0.0062141,0.9931444,1.9262445e-06,2.691534e-07,4.5862864e-10,1.1841382e-10,4.9834203e-11,2.84412e-17,0.00022418586,1.6995612e-07,1.4404325e-06,0.9997683,6.0004168e-06,2.4745521e-09,3.4249372e-09,1.8901639e-13,1.6431448e-13,1.7272106e-14,4.7268077e-05,3.6371237e-08,0.00079848146,0.99915195,2.2557433e-06,6.0832073e-09,3.1382515e-11,3.605568e-14
event_050,2022-06-29,test_050,test_label,input_event_sample050,0.99999976,3.4333276e-26,1.8793366e-25,4.6300653e-20,2.438121e-07,1.351891e-18,5.0588492e-23,1.4360489e-24,4.259606e-11,3.4070299e-12,0.9999989,3.474537e-19,1.2683642e-13,8.302186e-15,8.94557e-07,1.5591702e-11,4.7432006e-11,8.4581804e-16,7.0437146e-08,8.3934276e-13,0.9999994,4.6139682e-34,2.9700083e-31,6.0693286e-24,6.368778e-07,1.9125048e-23,2.8567718e-25,7.079365e-28,7.8717957e-13,8.445619e-14,0.9999889,1.9758192e-26,2.979473e-25,5.703342e-20,1.1122043e-05,1.798229e-18,3.2640732e-23,2.174049e-25,6.6944957e-11,3.9197573e-12,0.9999342,4.9951512e-27,1.303995e-24,7.434693e-20,6.579616e-05,4.0043165e-17,9.0252503e-23,9.2310556e-26,1.522782e-11,1.1495434e-12,0.999979,4.6087715e-27,7.721664e-25,5.874638e-20,2.1025642e-05,2.3164753e-17,5.3532385e-23,7.350065e-26,1.004847e-11,6.664166e-13
event_078,2022-06-29,test_078,test_label,input_event_sample078,2.2793235e-10,1.1689069e-12,0.99987864,1.387145e-05,1.980787e-06,4.413802e-05,1.2560429e-09,6.115412e-05,1.2324433e-07,1.7526684e-10,2.1440072e-09,3.92598e-11,0.9996865,0.0001961295,1.6152024e-05,7.027108e-05,7.690927e-09,3.0682684e-05,2.5547695e-07,5.901944e-10,1.0926771e-10,7.917304e-16,0.99964285,3.0864117e-05,5.3601375e-06,0.0003207,1.250804e-08,1.689568e-07,2.6709658e-08,1.5002089e-12,6.736722e-09,6.8613254e-10,0.99939036,0.00028229572,2.9758743e-05,0.00025473954,6.836994e-08,4.210185e-05,5.7355953e-07,4.099056e-09,4.438988e-11,6.392694e-14,0.9999764,1.5306057e-05,3.3062722e-07,7.0940487e-06,2.0145272e-09,8.171701e-07,5.3115247e-08,3.0302115e-11,3.7839055e-11,9.174407e-13,0.99998224,1.2342238e-05,5.9929124e-07,1.4801958e-07,8.738457e-11,4.6426626e-06,2.2012165e-08,2.4646366e-10
event_0114,2022-06-29,test_0114,test_label,input_event_sample0114,1.078118e-25,2.3115736e-23,2.7091604e-31,2.1984465e-21,2.4581123e-10,1.0730658e-35,1.3461516e-28,9.936441e-27,4.0732018e-17,1.0,4.143087e-28,4.6512943e-34,9.595037e-37,7.4270515e-26,1.3369247e-13,1.5687865e-37,2.768643e-28,0.0,1.7803907e-13,1.0,1.5824715e-23,4.7963103e-25,2.5710578e-29,2.6956426e-18,4.4892076e-12,1.5448265e-34,2.901696e-24,5.0034135e-27,3.814125e-14,1.0,1.7500371e-19,2.5953878e-10,9.0630125e-21,8.499519e-10,1.3829402e-10,5.487106e-21,1.1069743e-09,1.2545298e-15,3.040379e-19,1.0,1.4298014e-24,1.93635e-15,1.1840879e-21,1.0262492e-09,6.60856e-13,9.265589e-29,8.153028e-21,5.0300255e-15,6.008339e-22,1.0,1.1834942e-24,1.5665073e-15,3.6270774e-26,2.2886778e-11,7.269068e-13,1.2893568e-28,1.9947284e-07,1.7855581e-22,3.181288e-25,0.99999976
