,amplitude (in pu),timestamps (in ms)
0,0,0
1,0.024541229,0.065104167
2,0.049067674,0.130208333
3,0.073564564,0.1953125
4,0.09801714,0.260416667
5,0.122410675,0.325520833
6,0.146730474,0.390625
7,0.170961889,0.455729167
8,0.195090322,0.520833333
9,0.21910124,0.5859375
10,0.24298018,0.651041667
11,0.266712757,0.716145833
12,0.290284677,0.78125
13,0.31368174,0.846354167
14,0.336889853,0.911458333
15,0.359895037,0.9765625
16,0.382683432,1.041666667
17,0.405241314,1.106770833
18,0.427555093,1.171875
19,0.44961133,1.236979167
20,0.471396737,1.302083333
21,0.492898192,1.3671875
22,0.514102744,1.432291667
23,0.53499762,1.497395833
24,0.555570233,1.5625
25,0.575808191,1.627604167
26,0.595699304,1.692708333
27,0.615231591,1.7578125
28,0.634393284,1.822916667
29,0.653172843,1.888020833
30,0.671558955,1.953125
31,0.689540545,2.018229167
32,0.707106781,2.083333333
33,0.724247083,2.1484375
34,0.740951125,2.213541667
35,0.757208847,2.278645833
36,0.773010453,2.34375
37,0.788346428,2.408854167
38,0.803207531,2.473958333
39,0.817584813,2.5390625
40,0.831469612,2.604166667
41,0.844853565,2.669270833
42,0.85772861,2.734375
43,0.870086991,2.799479167
44,0.881921264,2.864583333
45,0.893224301,2.9296875
46,0.903989293,2.994791667
47,0.914209756,3.059895833
48,0.923879533,3.125
49,0.932992799,3.190104167
50,0.941544065,3.255208333
51,0.949528181,3.3203125
52,0.956940336,3.385416667
53,0.963776066,3.450520833
54,0.970031253,3.515625
55,0.97570213,3.580729167
56,0.98078528,3.645833333
57,0.985277642,3.7109375
58,0.98917651,3.776041667
59,0.992479535,3.841145833
60,0.995184727,3.90625
61,0.997290457,3.971354167
62,0.998795456,4.036458333
63,0.999698819,4.1015625
64,1,4.166666667
65,0.999698819,4.231770833
66,0.998795456,4.296875
67,0.997290457,4.361979167
68,0.995184727,4.427083333
69,0.992479535,4.4921875
70,0.98917651,4.557291667
71,0.985277642,4.622395833
72,0.98078528,4.6875
73,0.97570213,4.752604167
74,0.970031253,4.817708333
75,0.963776066,4.8828125
76,0.956940336,4.947916667
77,0.949528181,5.013020833
78,0.941544065,5.078125
79,0.932992799,5.143229167
80,0.923879533,5.208333333
81,0.914209756,5.2734375
82,0.903989293,5.338541667
83,0.893224301,5.403645833
84,0.881921264,5.46875
85,0.870086991,5.533854167
86,0.85772861,5.598958333
87,0.844853565,5.6640625
88,0.831469612,5.729166667
89,0.817584813,5.794270833
90,0.803207531,5.859375
91,0.788346428,5.924479167
92,0.773010453,5.989583333
93,0.757208847,6.0546875
94,0.740951125,6.119791667
95,0.724247083,6.184895833
96,0.707106781,6.25
97,0.689540545,6.315104167
98,0.671558955,6.380208333
99,0.653172843,6.4453125
100,0.634393284,6.510416667
101,0.615231591,6.575520833
102,0.595699304,6.640625
103,0.575808191,6.705729167
104,0.555570233,6.770833333
105,0.53499762,6.8359375
106,0.514102744,6.901041667
107,0.492898192,6.966145833
108,0.471396737,7.03125
109,0.44961133,7.096354167
110,0.427555093,7.161458333
111,0.405241314,7.2265625
112,0.382683432,7.291666667
113,0.359895037,7.356770833
114,0.336889853,7.421875
115,0.31368174,7.486979167
116,0.290284677,7.552083333
117,0.266712757,7.6171875
118,0.24298018,7.682291667
119,0.21910124,7.747395833
120,0.195090322,7.8125
121,0.170961889,7.877604167
122,0.146730474,7.942708333
123,0.122410675,8.0078125
124,0.09801714,8.072916667
125,0.073564564,8.138020833
126,0.049067674,8.203125
127,0.024541229,8.268229167
128,5.67E-16,8.333333333
129,-0.024541229,8.3984375
130,-0.049067674,8.463541667
131,-0.073564564,8.528645833
132,-0.09801714,8.59375
133,-0.122410675,8.658854167
134,-0.146730474,8.723958333
135,-0.170961889,8.7890625
136,-0.195090322,8.854166667
137,-0.21910124,8.919270833
138,-0.24298018,8.984375
139,-0.266712757,9.049479167
140,-0.290284677,9.114583333
141,-0.31368174,9.1796875
142,-0.336889853,9.244791667
143,-0.359895037,9.309895833
144,-0.382683432,9.375
145,-0.405241314,9.440104167
146,-0.427555093,9.505208333
147,-0.44961133,9.5703125
148,-0.471396737,9.635416667
149,-0.492898192,9.700520833
150,-0.514102744,9.765625
151,-0.53499762,9.830729167
152,-0.555570233,9.895833333
153,-0.575808191,9.9609375
154,-0.595699304,10.02604167
155,-0.615231591,10.09114583
156,-0.634393284,10.15625
157,-0.653172843,10.22135417
158,-0.671558955,10.28645833
159,-0.689540545,10.3515625
160,-0.707106781,10.41666667
161,-0.724247083,10.48177083
162,-0.740951125,10.546875
163,-0.757208847,10.61197917
164,-0.773010453,10.67708333
165,-0.788346428,10.7421875
166,-0.803207531,10.80729167
167,-0.817584813,10.87239583
168,-0.831469612,10.9375
169,-0.844853565,11.00260417
170,-0.85772861,11.06770833
171,-0.870086991,11.1328125
172,-0.881921264,11.19791667
173,-0.893224301,11.26302083
174,-0.903989293,11.328125
175,-0.914209756,11.39322917
176,-0.923879533,11.45833333
177,-0.932992799,11.5234375
178,-0.941544065,11.58854167
179,-0.949528181,11.65364583
180,-0.956940336,11.71875
181,-0.963776066,11.78385417
182,-0.970031253,11.84895833
183,-0.97570213,11.9140625
184,-0.98078528,11.97916667
185,-0.985277642,12.04427083
186,-0.98917651,12.109375
187,-0.992479535,12.17447917
188,-0.995184727,12.23958333
189,-0.997290457,12.3046875
190,-0.998795456,12.36979167
191,-0.999698819,12.43489583
192,-1,12.5
193,-0.999698819,12.56510417
194,-0.998795456,12.63020833
195,-0.997290457,12.6953125
196,-0.995184727,12.76041667
197,-0.992479535,12.82552083
198,-0.98917651,12.890625
199,-0.985277642,12.95572917
200,-0.98078528,13.02083333
201,-0.97570213,13.0859375
202,-0.970031253,13.15104167
203,-0.963776066,13.21614583
204,-0.956940336,13.28125
205,-0.949528181,13.34635417
206,-0.941544065,13.41145833
207,-0.932992799,13.4765625
208,-0.923879533,13.54166667
209,-0.914209756,13.60677083
210,-0.903989293,13.671875
211,-0.893224301,13.73697917
212,-0.881921264,13.80208333
213,-0.870086991,13.8671875
214,-0.85772861,13.93229167
215,-0.844853565,13.99739583
216,-0.831469612,14.0625
217,-0.817584813,14.12760417
218,-0.803207531,14.19270833
219,-0.788346428,14.2578125
220,-0.773010453,14.32291667
221,-0.757208847,14.38802083
222,-0.740951125,14.453125
223,-0.724247083,14.51822917
224,-0.707106781,14.58333333
225,-0.689540545,14.6484375
226,-0.671558955,14.71354167
227,-0.653172843,14.77864583
228,-0.634393284,14.84375
229,-0.615231591,14.90885417
230,-0.595699304,14.97395833
231,-0.575808191,15.0390625
232,-0.555570233,15.10416667
233,-0.53499762,15.16927083
234,-0.514102744,15.234375
235,-0.492898192,15.29947917
236,-0.471396737,15.36458333
237,-0.44961133,15.4296875
238,-0.427555093,15.49479167
239,-0.405241314,15.55989583
240,-0.382683432,15.625
241,-0.359895037,15.69010417
242,-0.336889853,15.75520833
243,-0.31368174,15.8203125
244,-0.290284677,15.88541667
245,-0.266712757,15.95052083
246,-0.24298018,16.015625
247,-0.21910124,16.08072917
248,-0.195090322,16.14583333
249,-0.170961889,16.2109375
250,-0.146730474,16.27604167
251,-0.122410675,16.34114583
252,-0.09801714,16.40625
253,-0.073564564,16.47135417
254,-0.049067674,16.53645833
255,-0.024541229,16.6015625
256,-1.13E-15,16.66666667
