,amplitude (in pu),timestamps (in ms),,parameters,values
0,0.038922191,0,,waveform frequency,60
1,-0.012524487,0.065104167,,signal duration in ms,1000
2,0.027462168,0.130208333,,signal sample per cycle,256
3,0.093941611,0.1953125,,,
4,0.085042023,0.260416667,,flicker_alpha,0.15
5,0.187908912,0.325520833,,flicker_beta,5
6,0.183965187,0.390625,,,
7,0.145656202,0.455729167,,,
8,0.153356515,0.520833333,,,
9,0.281247772,0.5859375,,,
10,0.29771556,0.651041667,,,
11,0.394777536,0.716145833,,,
12,0.266053408,0.78125,,,
13,0.251572196,0.846354167,,,
14,0.235677772,0.911458333,,,
15,0.280729782,0.9765625,,,
16,0.307693,1.041666667,,,
17,0.444410476,1.106770833,,,
18,0.471168857,1.171875,,,
19,0.456610229,1.236979167,,,
20,0.486334881,1.302083333,,,
21,0.454589163,1.3671875,,,
22,0.551194127,1.432291667,,,
23,0.532617824,1.497395833,,,
24,0.543331984,1.5625,,,
25,0.488797009,1.627604167,,,
26,0.512095818,1.692708333,,,
27,0.566718721,1.7578125,,,
28,0.712884174,1.822916667,,,
29,0.653033065,1.888020833,,,
30,0.605414711,1.953125,,,
31,0.766226091,2.018229167,,,
32,0.681755848,2.083333333,,,
33,0.722332238,2.1484375,,,
34,0.748825744,2.213541667,,,
35,0.708588526,2.278645833,,,
36,0.760441755,2.34375,,,
37,0.765120562,2.408854167,,,
38,0.813141588,2.473958333,,,
39,0.80749482,2.5390625,,,
40,0.819535856,2.604166667,,,
41,0.954771077,2.669270833,,,
42,0.951197099,2.734375,,,
43,0.914789783,2.799479167,,,
44,0.854456437,2.864583333,,,
45,0.982961618,2.9296875,,,
46,0.960285415,2.994791667,,,
47,0.94719783,3.059895833,,,
48,0.935652537,3.125,,,
49,0.866582354,3.190104167,,,
50,0.915535037,3.255208333,,,
51,0.990339087,3.3203125,,,
52,0.919863136,3.385416667,,,
53,1.005052673,3.450520833,,,
54,0.953004714,3.515625,,,
55,0.905875736,3.580729167,,,
56,0.960890416,3.645833333,,,
57,1.045216367,3.7109375,,,
58,1.025696562,3.776041667,,,
59,0.996079982,3.841145833,,,
60,1.100257528,3.90625,,,
61,1.018555448,3.971354167,,,
62,1.001159146,4.036458333,,,
63,1.120195705,4.1015625,,,
64,1.051535955,4.166666667,,,
65,1.006341171,4.231770833,,,
66,1.027183871,4.296875,,,
67,1.037284448,4.361979167,,,
68,1.060859726,4.427083333,,,
69,1.034369041,4.4921875,,,
70,1.015200894,4.557291667,,,
71,1.007548507,4.622395833,,,
72,1.08079051,4.6875,,,
73,1.000966735,4.752604167,,,
74,1.039427506,4.817708333,,,
75,0.914955644,4.8828125,,,
76,1.02203022,4.947916667,,,
77,1.088153771,5.013020833,,,
78,0.982384903,5.078125,,,
79,0.909446119,5.143229167,,,
80,0.943946363,5.208333333,,,
81,1.009513607,5.2734375,,,
82,0.844843244,5.338541667,,,
83,0.957884824,5.403645833,,,
84,0.953235524,5.46875,,,
85,0.880122674,5.533854167,,,
86,0.978202885,5.598958333,,,
87,0.850786142,5.6640625,,,
88,0.82419417,5.729166667,,,
89,0.849442472,5.794270833,,,
90,0.877293337,5.859375,,,
91,0.779325688,5.924479167,,,
92,0.845868745,5.989583333,,,
93,0.803247037,6.0546875,,,
94,0.74589146,6.119791667,,,
95,0.704562529,6.184895833,,,
96,0.729907428,6.25,,,
97,0.613407522,6.315104167,,,
98,0.682624305,6.380208333,,,
99,0.604130027,6.4453125,,,
100,0.586872052,6.510416667,,,
101,0.651405291,6.575520833,,,
102,0.618722969,6.640625,,,
103,0.638988423,6.705729167,,,
104,0.59005258,6.770833333,,,
105,0.53266566,6.8359375,,,
106,0.603579044,6.901041667,,,
107,0.530005839,6.966145833,,,
108,0.411877382,7.03125,,,
109,0.436386551,7.096354167,,,
110,0.434959894,7.161458333,,,
111,0.411154385,7.2265625,,,
112,0.380612644,7.291666667,,,
113,0.308812901,7.356770833,,,
114,0.328747389,7.421875,,,
115,0.342641519,7.486979167,,,
116,0.303079876,7.552083333,,,
117,0.308823916,7.6171875,,,
118,0.331472922,7.682291667,,,
119,0.246734222,7.747395833,,,
120,0.176911932,7.8125,,,
121,0.167355949,7.877604167,,,
122,0.14174036,7.942708333,,,
123,0.143967066,8.0078125,,,
