,amplitude (in pu),timestamps (in ms),,parameters,values
0,-0.069665065,0,,waveform frequency,60
1,0.02111268,0.065104167,,signal duration in ms,1000
2,0.187761896,0.130208333,,signal sample per cycle,256
3,0.09360873,0.1953125,,,
4,0.242094807,0.260416667,,a3_parameter,0.11
5,0.237737524,0.325520833,,a5_parameter,0.11
6,0.313069843,0.390625,,,
7,0.294884767,0.455729167,,,
8,0.296942493,0.520833333,,,
9,0.463485242,0.5859375,,,
10,0.433389326,0.651041667,,,
11,0.372050566,0.716145833,,,
12,0.447622612,0.78125,,,
13,0.518454442,0.846354167,,,
14,0.624610986,0.911458333,,,
15,0.55313654,0.9765625,,,
16,0.609389305,1.041666667,,,
17,0.673051978,1.106770833,,,
18,0.677172747,1.171875,,,
19,0.677362677,1.236979167,,,
20,0.706345072,1.302083333,,,
21,0.734104181,1.3671875,,,
22,0.555391671,1.432291667,,,
23,0.618992353,1.497395833,,,
24,0.745197324,1.5625,,,
25,0.684798787,1.627604167,,,
26,0.596907576,1.692708333,,,
27,0.623265496,1.7578125,,,
28,0.677423192,1.822916667,,,
29,0.669856691,1.888020833,,,
30,0.682180784,1.953125,,,
31,0.672766785,2.018229167,,,
32,0.653184822,2.083333333,,,
33,0.745920013,2.1484375,,,
34,0.634523419,2.213541667,,,
35,0.685565699,2.278645833,,,
36,0.666270238,2.34375,,,
37,0.691914205,2.408854167,,,
38,0.720279354,2.473958333,,,
39,0.688414468,2.5390625,,,
40,0.706833293,2.604166667,,,
41,0.811398374,2.669270833,,,
42,0.725607937,2.734375,,,
43,0.671883519,2.799479167,,,
44,0.722482966,2.864583333,,,
45,0.776008824,2.9296875,,,
46,0.719083503,2.994791667,,,
47,0.84597436,3.059895833,,,
48,0.817956421,3.125,,,
49,0.893637548,3.190104167,,,
50,0.750385171,3.255208333,,,
51,0.830750559,3.3203125,,,
52,0.891376367,3.385416667,,,
53,0.911993275,3.450520833,,,
54,0.888079344,3.515625,,,
55,0.872116305,3.580729167,,,
56,0.942514955,3.645833333,,,
57,0.855738992,3.7109375,,,
58,0.943624938,3.776041667,,,
59,1.055413005,3.841145833,,,
60,1.021424803,3.90625,,,
61,0.942007888,3.971354167,,,
62,1.003236309,4.036458333,,,
63,1.002649351,4.1015625,,,
64,1.007239944,4.166666667,,,
65,1.05991551,4.231770833,,,
66,0.973281113,4.296875,,,
67,1.0199985,4.361979167,,,
68,0.921319387,4.427083333,,,
69,1.003109999,4.4921875,,,
70,0.96929293,4.557291667,,,
71,0.902726333,4.622395833,,,
72,0.993516224,4.6875,,,
73,1.00664615,4.752604167,,,
74,0.915519544,4.817708333,,,
75,0.859935646,4.8828125,,,
76,0.89698745,4.947916667,,,
77,0.843089418,5.013020833,,,
78,0.831891114,5.078125,,,
79,0.898027213,5.143229167,,,
80,0.770898498,5.208333333,,,
