,amplitude (in pu),timestamps (in ms),,parameters,values
0,0.028284342,0,,waveform frequency,60
1,0.045540363,0.065104167,,signal duration in ms,1000
2,0.176025828,0.130208333,,signal sample per cycle,256
3,0.194389038,0.1953125,,,
4,0.167716273,0.260416667,,a3 parameter,0.15
5,0.297536025,0.325520833,,a5 parameter,0.15
6,0.336100962,0.390625,,,
7,0.326154201,0.455729167,,interruption duration in cycles,30
8,0.42588461,0.520833333,,interruption magnitude,0.01
9,0.451419269,0.5859375,,,
10,0.498647809,0.651041667,,,
11,0.536146751,0.716145833,,,
12,0.594226421,0.78125,,,
13,0.594799218,0.846354167,,,
14,0.565586783,0.911458333,,,
15,0.635412691,0.9765625,,,
16,0.693162947,1.041666667,,,
17,0.65931794,1.106770833,,,
18,0.683259753,1.171875,,,
19,0.637196638,1.236979167,,,
20,0.723281081,1.302083333,,,
21,0.714465844,1.3671875,,,
22,0.769591736,1.432291667,,,
23,0.748497485,1.497395833,,,
24,0.731977297,1.5625,,,
25,0.579641667,1.627604167,,,
26,0.704473767,1.692708333,,,
27,0.73659497,1.7578125,,,
28,0.741769137,1.822916667,,,
29,0.654895916,1.888020833,,,
30,0.668726729,1.953125,,,
31,0.669319655,2.018229167,,,
32,0.657719829,2.083333333,,,
33,0.583589851,2.1484375,,,
34,0.669875178,2.213541667,,,
35,0.588398122,2.278645833,,,
36,0.683462863,2.34375,,,
37,0.733723764,2.408854167,,,
38,0.705819883,2.473958333,,,
39,0.683861732,2.5390625,,,
40,0.7312962,2.604166667,,,
41,0.688327531,2.669270833,,,
42,0.68218755,2.734375,,,
43,0.686729401,2.799479167,,,
44,0.797805159,2.864583333,,,
45,0.741002705,2.9296875,,,
46,0.753764499,2.994791667,,,
47,0.813004883,3.059895833,,,
48,0.716835875,3.125,,,
49,0.680455534,3.190104167,,,
50,0.81349184,3.255208333,,,
51,0.933466289,3.3203125,,,
52,0.922826637,3.385416667,,,
53,0.940531145,3.450520833,,,
54,0.947491404,3.515625,,,
55,0.950060535,3.580729167,,,
56,0.951614605,3.645833333,,,
57,0.910152532,3.7109375,,,
58,0.96719175,3.776041667,,,
59,1.006750663,3.841145833,,,
60,1.024768894,3.90625,,,
61,0.920216026,3.971354167,,,
62,0.991340439,4.036458333,,,
63,0.991912835,4.1015625,,,
64,1.040284415,4.166666667,,,
65,1.032027404,4.231770833,,,
66,0.939866291,4.296875,,,
67,0.968964532,4.361979167,,,
68,0.954877845,4.427083333,,,
69,0.901203222,4.4921875,,,
70,0.907599895,4.557291667,,,
71,0.939757689,4.622395833,,,
72,0.884167425,4.6875,,,
73,0.921237178,4.752604167,,,
74,0.935385091,4.817708333,,,
75,0.840097252,4.8828125,,,
76,0.819114377,4.947916667,,,
77,0.693726435,5.013020833,,,
78,0.829584602,5.078125,,,
79,0.891596677,5.143229167,,,
80,0.84483988,5.208333333,,,
81,0.767626245,5.2734375,,,
82,0.744059172,5.338541667,,,
83,0.72253953,5.403645833,,,
84,0.741642396,5.46875,,,
85,0.685700378,5.533854167,,,
86,0.718893541,5.598958333,,,
87,0.670677186,5.6640625,,,
88,0.70436474,5.729166667,,,
89,0.677172713,5.794270833,,,
90,0.714135746,5.859375,,,
91,0.649732633,5.924479167,,,
92,0.717996671,5.989583333,,,
93,0.671119321,6.0546875,,,
94,0.68852775,6.119791667,,,
95,0.718757975,6.184895833,,,
96,0.723599598,6.25,,,
97,0.705077389,6.315104167,,,
98,0.725394344,6.380208333,,,
99,0.719756341,6.4453125,,,
100,0.675041717,6.510416667,,,
101,0.759000548,6.575520833,,,
102,0.693569411,6.640625,,,
103,0.729653332,6.705729167,,,
104,0.722111772,6.770833333,,,
105,0.665925668,6.8359375,,,
106,0.71979524,6.901041667,,,
107,0.625046351,6.966145833,,,
108,0.696842612,7.03125,,,
109,0.605565194,7.096354167,,,
110,0.679136738,7.161458333,,,
111,0.660468498,7.2265625,,,
112,0.628079206,7.291666667,,,
113,0.706700857,7.356770833,,,
114,0.576401295,7.421875,,,
115,0.567339501,7.486979167,,,
116,0.534522889,7.552083333,,,
117,0.532189964,7.6171875,,,
118,0.403602506,7.682291667,,,
119,0.485624287,7.747395833,,,
120,0.404902623,7.8125,,,
121,0.387699821,7.877604167,,,
122,0.303619182,7.942708333,,,
123,0.191786616,8.0078125,,,
124,0.205633211,8.072916667,,,
125,0.178658345,8.138020833,,,
126,0.133614719,8.203125,,,
127,0.071095014,8.268229167,,,
128,0.0042394,8.333333333,,,
129,-0.077308821,8.3984375,,,
130,-0.027513509,8.463541667,,,
131,-0.132594712,8.528645833,,,
132,-0.147842286,8.59375,,,
133,-0.273720363,8.658854167,,,
134,-0.336489449,8.723958333,,,
135,-0.337154793,8.7890625,,,
136,-0.401416856,8.854166667,,,
137,-0.470625541,8.919270833,,,
138,-0.496836874,8.984375,,,
139,-0.544330742,9.049479167,,,
140,-0.524872575,9.114583333,,,
141,-0.601915474,9.1796875,,,
142,-0.523110022,9.244791667,,,
