,amplitude (in pu),timestamps (in ms),,parameters,values
0,0.007732675,0,,waveform frequency,60
1,0.031413677,0.065104167,,signal duration in ms,1000
2,0.088833262,0.130208333,,signal sample per cycle,256
3,0.155879128,0.1953125,,,
4,0.02262699,0.260416667,,interruption duration in cycles,30
5,0.121227389,0.325520833,,interruption magnitude,0.01
6,0.094263761,0.390625,,,
7,0.201304908,0.455729167,,,
8,0.158935294,0.520833333,,,
9,0.253952526,0.5859375,,,
10,0.196637996,0.651041667,,,
11,0.285117166,0.716145833,,,
12,0.347086252,0.78125,,,
13,0.259287917,0.846354167,,,
14,0.368643692,0.911458333,,,
15,0.327246257,0.9765625,,,
16,0.380866728,1.041666667,,,
17,0.368696836,1.106770833,,,
18,0.430362746,1.171875,,,
19,0.494829956,1.236979167,,,
20,0.444645886,1.302083333,,,
21,0.500475479,1.3671875,,,
22,0.478026724,1.432291667,,,
23,0.597238765,1.497395833,,,
24,0.561888925,1.5625,,,
25,0.5678945,1.627604167,,,
26,0.50385101,1.692708333,,,
27,0.602778491,1.7578125,,,
28,0.733007118,1.822916667,,,
29,0.659626329,1.888020833,,,
30,0.616801903,1.953125,,,
31,0.627477426,2.018229167,,,
32,0.667420746,2.083333333,,,
33,0.617823493,2.1484375,,,
34,0.716979495,2.213541667,,,
35,0.75188099,2.278645833,,,
36,0.71733844,2.34375,,,
37,0.764052467,2.408854167,,,
38,0.855401413,2.473958333,,,
39,0.74472878,2.5390625,,,
40,0.864377793,2.604166667,,,
41,0.831069366,2.669270833,,,
42,0.800018784,2.734375,,,
43,0.886101876,2.799479167,,,
44,0.905835127,2.864583333,,,
45,0.813805348,2.9296875,,,
46,0.889464289,2.994791667,,,
47,0.861593775,3.059895833,,,
48,0.958626827,3.125,,,
49,0.936786246,3.190104167,,,
50,0.875346911,3.255208333,,,
51,0.939741232,3.3203125,,,
52,1.001282478,3.385416667,,,
53,1.05086598,3.450520833,,,
54,0.998829565,3.515625,,,
55,1.119995293,3.580729167,,,
56,1.002319921,3.645833333,,,
57,0.917390948,3.7109375,,,
58,0.977856659,3.776041667,,,
59,0.92570018,3.841145833,,,
60,0.98631816,3.90625,,,
61,0.981400845,3.971354167,,,
62,0.942207692,4.036458333,,,
63,1.101658971,4.1015625,,,
64,0.986417115,4.166666667,,,
65,1.039672377,4.231770833,,,
66,1.073245127,4.296875,,,
67,1.085469446,4.361979167,,,
68,1.001703523,4.427083333,,,
69,1.006111992,4.4921875,,,
70,0.987104825,4.557291667,,,
71,0.999161084,4.622395833,,,
72,0.936994603,4.6875,,,
73,0.963484873,4.752604167,,,
74,0.904873467,4.817708333,,,
75,0.916261732,4.8828125,,,
76,0.921064688,4.947916667,,,
77,0.969830224,5.013020833,,,
78,1.038319988,5.078125,,,
79,1.033471955,5.143229167,,,
80,0.829590686,5.208333333,,,
81,0.915357261,5.2734375,,,
82,0.841853765,5.338541667,,,
83,0.870810349,5.403645833,,,
84,0.889343747,5.46875,,,
85,0.885573998,5.533854167,,,
86,0.904967847,5.598958333,,,
87,0.873070032,5.6640625,,,
88,0.877324249,5.729166667,,,
89,0.860384964,5.794270833,,,
90,0.782880057,5.859375,,,
91,0.813097349,5.924479167,,,
92,0.771367636,5.989583333,,,
93,0.840257311,6.0546875,,,
94,0.794901057,6.119791667,,,
95,0.702265254,6.184895833,,,
96,0.757471909,6.25,,,
97,0.68553083,6.315104167,,,
98,0.673808102,6.380208333,,,
99,0.685648924,6.4453125,,,
100,0.61573471,6.510416667,,,
101,0.662998295,6.575520833,,,
102,0.615685259,6.640625,,,
103,0.541428489,6.705729167,,,
104,0.576248872,6.770833333,,,
105,0.603659608,6.8359375,,,
106,0.576372558,6.901041667,,,
107,0.580527896,6.966145833,,,
108,0.457376342,7.03125,,,
109,0.46261106,7.096354167,,,
110,0.37725688,7.161458333,,,
111,0.38493233,7.2265625,,,
112,0.460306015,7.291666667,,,
113,0.392714357,7.356770833,,,
114,0.401568067,7.421875,,,
115,0.346087085,7.486979167,,,
116,0.380032263,7.552083333,,,
117,0.249877647,7.6171875,,,
118,0.329047702,7.682291667,,,
119,0.125740686,7.747395833,,,
120,0.286749425,7.8125,,,
121,0.0992596,7.877604167,,,
122,0.167035367,7.942708333,,,
123,0.111482519,8.0078125,,,
124,0.058542123,8.072916667,,,
125,0.079431852,8.138020833,,,
126,0.052079663,8.203125,,,
127,-0.086352532,8.268229167,,,
128,0.044603967,8.333333333,,,
129,-0.082588405,8.3984375,,,
130,-0.149126613,8.463541667,,,
131,0.00404881,8.528645833,,,
132,-0.08094439,8.59375,,,
133,-0.149090857,8.658854167,,,
134,-0.17513033,8.723958333,,,
135,-0.139919237,8.7890625,,,
136,-0.208621923,8.854166667,,,
137,-0.204297521,8.919270833,,,
138,-0.229794848,8.984375,,,
139,-0.291977376,9.049479167,,,
140,-0.256052205,9.114583333,,,
141,-0.263286075,9.1796875,,,
142,-0.434654221,9.244791667,,,
143,-0.446615819,9.309895833,,,
144,-0.448498634,9.375,,,
145,-0.345328637,9.440104167,,,
146,-0.432834325,9.505208333,,,
147,-0.401765501,9.5703125,,,
148,-0.603788712,9.635416667,,,
149,-0.453144658,9.700520833,,,
150,-0.435785897,9.765625,,,
151,-0.569132426,9.830729167,,,
152,-0.602031419,9.895833333,,,
153,-0.689790438,9.9609375,,,
154,-0.553893682,10.02604167,,,
155,-0.683176492,10.09114583,,,
156,-0.69099697,10.15625,,,
157,-0.603297253,10.22135417,,,
158,-0.647457742,10.28645833,,,
159,-0.679930293,10.3515625,,,
160,-0.697588076,10.41666667,,,
161,-0.700663719,10.48177083,,,
162,-0.706443839,10.546875,,,
163,-0.841594627,10.61197917,,,
164,-0.811127272,10.67708333,,,
165,-0.758184415,10.7421875,,,
166,-0.841849594,10.80729167,,,
167,-0.840221386,10.87239583,,,
168,-0.888232549,10.9375,,,
169,-0.899553949,11.00260417,,,
170,-0.776875791,11.06770833,,,
171,-0.838204448,11.1328125,,,
172,-0.909400936,11.19791667,,,
173,-0.916555225,11.26302083,,,
174,-0.963105662,11.328125,,,
175,-0.852209123,11.39322917,,,
176,-0.924816327,11.45833333,,,
177,-0.952103732,11.5234375,,,
178,-0.927485803,11.58854167,,,
179,-1.010224639,11.65364583,,,
180,-1.006748988,11.71875,,,
181,-0.989591479,11.78385417,,,
182,-0.989576664,11.84895833,,,
183,-0.966935003,11.9140625,,,
184,-1.01778966,11.97916667,,,
185,-1.027275589,12.04427083,,,
186,-1.049589284,12.109375,,,
187,-1.042866208,12.17447917,,,
188,-1.023067528,12.23958333,,,
189,-1.016875478,12.3046875,,,
190,-0.938093486,12.36979167,,,
191,-0.986109725,12.43489583,,,
192,-0.962855915,12.5,,,
193,-0.987267798,12.56510417,,,
194,-1.029493626,12.63020833,,,
195,-0.926353162,12.6953125,,,
196,-1.057757242,12.76041667,,,
197,-1.032931094,12.82552083,,,
198,-0.835021178,12.890625,,,
199,-0.938069622,12.95572917,,,
200,-1.057645153,13.02083333,,,
201,-0.995981119,13.0859375,,,
202,-0.998393323,13.15104167,,,
203,-0.889375751,13.21614583,,,
204,-0.949864803,13.28125,,,
205,-0.947773378,13.34635417,,,
206,-0.990725208,13.41145833,,,
207,-0.916382002,13.4765625,,,
208,-0.976417551,13.54166667,,,
209,-0.904780468,13.60677083,,,
210,-1.013659588,13.671875,,,
211,-0.891028244,13.73697917,,,
212,-0.881898975,13.80208333,,,
213,-0.820756086,13.8671875,,,
214,-0.855124737,13.93229167,,,
215,-0.788105826,13.99739583,,,
216,-0.790682568,14.0625,,,
217,-0.940830103,14.12760417,,,
218,-0.855728606,14.19270833,,,
219,-0.796860146,14.2578125,,,
220,-0.764701136,14.32291667,,,
221,-0.739885291,14.38802083,,,
222,-0.788316715,14.453125,,,
223,-0.726061385,14.51822917,,,
224,-0.762919345,14.58333333,,,
225,-0.633708279,14.6484375,,,
226,-0.712549522,14.71354167,,,
227,-0.684735153,14.77864583,,,
228,-0.589766817,14.84375,,,
229,-0.624781376,14.90885417,,,
230,-0.579689268,14.97395833,,,
231,-0.611941237,15.0390625,,,
232,-0.575048838,15.10416667,,,
233,-0.523136164,15.16927083,,,
234,-0.568054051,15.234375,,,
235,-0.519116256,15.29947917,,,
236,-0.521814541,15.36458333,,,
237,-0.427278184,15.4296875,,,
