,amplitude (in pu),timestamps (in ms),,parameters,values
0,-0.012168713,0,,waveform frequency,60
1,0.09445233,0.065104167,,signal duration in ms,1000
2,0.047696307,0.130208333,,signal sample per cycle,256
3,0.127828154,0.1953125,,,
4,0.093334389,0.260416667,,,
5,0.183223946,0.325520833,,,
6,0.161236765,0.390625,,,
7,0.225301857,0.455729167,,,
8,0.249587078,0.520833333,,,
9,0.196165937,0.5859375,,,
10,0.16009786,0.651041667,,,
11,0.34836453,0.716145833,,,
12,0.24492601,0.78125,,,
13,0.30312465,0.846354167,,,
14,0.346353824,0.911458333,,,
15,0.344935149,0.9765625,,,
16,0.454303204,1.041666667,,,
17,0.334525329,1.106770833,,,
18,0.346554364,1.171875,,,
19,0.443403883,1.236979167,,,
20,0.391277854,1.302083333,,,
21,0.494572803,1.3671875,,,
22,0.480568931,1.432291667,,,
23,0.511700914,1.497395833,,,
24,0.602151694,1.5625,,,
25,0.597295814,1.627604167,,,
26,0.513297732,1.692708333,,,
27,0.677527462,1.7578125,,,
28,0.633242344,1.822916667,,,
29,0.648800132,1.888020833,,,
30,0.677009005,1.953125,,,
31,0.626482125,2.018229167,,,
32,0.776206268,2.083333333,,,
33,0.788957086,2.1484375,,,
34,0.712098693,2.213541667,,,
35,0.770062332,2.278645833,,,
36,0.814168885,2.34375,,,
37,0.753438465,2.408854167,,,
38,0.859897769,2.473958333,,,
39,0.819882644,2.5390625,,,
40,0.819862361,2.604166667,,,
41,0.843295199,2.669270833,,,
42,0.896709706,2.734375,,,
43,0.892121906,2.799479167,,,
44,0.909354641,2.864583333,,,
45,0.930662399,2.9296875,,,
46,0.926356028,2.994791667,,,
47,0.937038085,3.059895833,,,
48,0.94142293,3.125,,,
49,0.927260959,3.190104167,,,
50,1.017651463,3.255208333,,,
51,0.947650249,3.3203125,,,
52,0.942193749,3.385416667,,,
53,0.991674334,3.450520833,,,
54,0.997104717,3.515625,,,
55,1.025664128,3.580729167,,,
56,0.995717474,3.645833333,,,
57,0.982241521,3.7109375,,,
58,0.952198195,3.776041667,,,
59,0.956484394,3.841145833,,,
60,0.984227381,3.90625,,,
61,0.887522645,3.971354167,,,
62,0.937023767,4.036458333,,,
63,0.995451429,4.1015625,,,
64,1.025534883,4.166666667,,,
65,1.116207069,4.231770833,,,
66,1.024006566,4.296875,,,
67,1.05693251,4.361979167,,,
68,1.006224223,4.427083333,,,
69,1.005925335,4.4921875,,,
70,1.085096465,4.557291667,,,
71,0.938140155,4.622395833,,,
72,1.04106969,4.6875,,,
73,0.967073248,4.752604167,,,
74,0.940041333,4.817708333,,,
75,1.01720415,4.8828125,,,
76,1.034155029,4.947916667,,,
77,0.920402744,5.013020833,,,
78,1.027488148,5.078125,,,
79,0.937051121,5.143229167,,,
80,0.972729479,5.208333333,,,
81,0.898193113,5.2734375,,,
82,0.841529945,5.338541667,,,
83,0.905726256,5.403645833,,,
84,0.973149973,5.46875,,,
85,0.936762066,5.533854167,,,
86,0.943199186,5.598958333,,,
87,0.93512163,5.6640625,,,
88,0.846688909,5.729166667,,,
89,0.794963276,5.794270833,,,
90,0.765236896,5.859375,,,
91,0.812957059,5.924479167,,,
92,0.700077156,5.989583333,,,
93,0.663081603,6.0546875,,,
94,0.805652037,6.119791667,,,
95,0.773745508,6.184895833,,,
96,0.728578461,6.25,,,
97,0.694529968,6.315104167,,,
98,0.735971882,6.380208333,,,
99,0.609456169,6.4453125,,,
100,0.625081307,6.510416667,,,
101,0.601109021,6.575520833,,,
102,0.656737923,6.640625,,,
103,0.612529818,6.705729167,,,
104,0.536318328,6.770833333,,,
105,0.505194123,6.8359375,,,
106,0.559305651,6.901041667,,,
107,0.497811922,6.966145833,,,
108,0.492709884,7.03125,,,
109,0.42903033,7.096354167,,,
110,0.399000817,7.161458333,,,
111,0.422779223,7.2265625,,,
112,0.384086289,7.291666667,,,
113,0.359217633,7.356770833,,,
114,0.383153299,7.421875,,,
115,0.236557898,7.486979167,,,
116,0.403903161,7.552083333,,,
117,0.195917107,7.6171875,,,
