,amplitude (in pu),timestamps (in ms),,parameters,values
0,-0.041294717,0,,waveform frequency,60
1,0.067441223,0.065104167,,signal duration in ms,1000
2,0.071817799,0.130208333,,signal sample per cycle,256
3,-0.003148581,0.1953125,,,
4,0.173873655,0.260416667,,transient alpha,0.8
5,0.100952836,0.325520833,,transient duration in cycles,3
6,0.098728086,0.390625,,transient duration in ms,40
7,0.186368331,0.455729167,,transient frequency,900
8,0.208748966,0.520833333,,,
9,0.233770618,0.5859375,,,
10,0.221609472,0.651041667,,,
11,0.222697087,0.716145833,,,
12,0.362394525,0.78125,,,
13,0.334995587,0.846354167,,,
14,0.335656872,0.911458333,,,
15,0.411198006,0.9765625,,,
16,0.43424947,1.041666667,,,
17,0.40564799,1.106770833,,,
18,0.443538082,1.171875,,,
19,0.509386083,1.236979167,,,
20,0.438345857,1.302083333,,,
21,0.49991839,1.3671875,,,
22,0.554406461,1.432291667,,,
23,0.516687003,1.497395833,,,
24,0.541681193,1.5625,,,
25,0.585684853,1.627604167,,,
26,0.541084356,1.692708333,,,
27,0.641275679,1.7578125,,,
28,0.64555104,1.822916667,,,
29,0.631548367,1.888020833,,,
30,0.636560562,1.953125,,,
31,0.706745121,2.018229167,,,
32,0.713086557,2.083333333,,,
33,0.647379898,2.1484375,,,
34,0.716450043,2.213541667,,,
35,0.834578087,2.278645833,,,
36,0.787553016,2.34375,,,
37,0.704765531,2.408854167,,,
38,0.818559956,2.473958333,,,
39,0.772673815,2.5390625,,,
40,0.791130108,2.604166667,,,
41,0.884433159,2.669270833,,,
42,0.86054827,2.734375,,,
43,0.928343234,2.799479167,,,
44,0.89166343,2.864583333,,,
45,0.917176841,2.9296875,,,
46,0.892768752,2.994791667,,,
47,0.851877503,3.059895833,,,
48,0.975266302,3.125,,,
49,0.926400716,3.190104167,,,
50,0.969488228,3.255208333,,,
51,0.905068078,3.3203125,,,
52,0.931334012,3.385416667,,,
53,0.948070921,3.450520833,,,
54,0.965712535,3.515625,,,
55,0.881549624,3.580729167,,,
56,1.028737542,3.645833333,,,
57,0.917057005,3.7109375,,,
58,1.00989353,3.776041667,,,
59,0.920775421,3.841145833,,,
60,1.071801375,3.90625,,,
61,1.022946743,3.971354167,,,
62,1.035998501,4.036458333,,,
63,1.040211335,4.1015625,,,
64,1.047468068,4.166666667,,,
65,0.984441648,4.231770833,,,
66,0.97309951,4.296875,,,
67,0.989419201,4.361979167,,,
68,1.002098498,4.427083333,,,
69,0.950248281,4.4921875,,,
70,0.899919549,4.557291667,,,
71,1.057921759,4.622395833,,,
72,1.005221257,4.6875,,,
73,1.102583698,4.752604167,,,
74,0.960035948,4.817708333,,,
75,0.933136379,4.8828125,,,
76,1.102912665,4.947916667,,,
77,0.876779789,5.013020833,,,
78,0.981979685,5.078125,,,
79,0.861769753,5.143229167,,,
80,0.954702959,5.208333333,,,
81,0.91927296,5.2734375,,,
82,0.943750574,5.338541667,,,
83,0.943274256,5.403645833,,,
84,0.947849342,5.46875,,,
85,0.854166872,5.533854167,,,
86,0.795043178,5.598958333,,,
87,0.827536674,5.6640625,,,
88,0.819954035,5.729166667,,,
89,0.808285876,5.794270833,,,
90,0.815752544,5.859375,,,
91,0.798194182,5.924479167,,,
92,0.69481905,5.989583333,,,
93,0.781488681,6.0546875,,,
94,0.775130877,6.119791667,,,
95,0.721920424,6.184895833,,,
96,0.718192704,6.25,,,
97,0.696706472,6.315104167,,,
98,0.609353997,6.380208333,,,
99,0.645335908,6.4453125,,,
100,0.615811252,6.510416667,,,
101,0.562659023,6.575520833,,,
102,0.673870436,6.640625,,,
103,0.565782133,6.705729167,,,
104,0.500705431,6.770833333,,,
105,0.56179283,6.8359375,,,
106,0.446480672,6.901041667,,,
107,0.505076835,6.966145833,,,
108,0.493930675,7.03125,,,
109,0.519478362,7.096354167,,,
110,0.38723487,7.161458333,,,
111,0.392023993,7.2265625,,,
112,0.390557318,7.291666667,,,
113,0.291378931,7.356770833,,,
114,0.246448432,7.421875,,,
115,0.286492317,7.486979167,,,
116,0.326891336,7.552083333,,,
117,0.271623177,7.6171875,,,
118,0.291629722,7.682291667,,,
119,0.260980317,7.747395833,,,
