,amplitude (in pu),timestamps (in ms),,parameters,values
0,0.031424673,0,,waveform frequency,60
1,0.022546319,0.065104167,,signal duration in ms,1000
2,0.021912953,0.130208333,,signal sample per cycle,256
3,0.177822795,0.1953125,,,
4,0.233629408,0.260416667,,a3 parameter,0.15
5,0.135315039,0.325520833,,a5 parameter,0.15
6,0.377154019,0.390625,,,
7,0.3117838,0.455729167,,sag duration in cycles,20
8,0.410145881,0.520833333,,sag magnitude,0.1
9,0.482746051,0.5859375,,,
10,0.517415771,0.651041667,,,
11,0.57291177,0.716145833,,,
12,0.597505948,0.78125,,,
13,0.593382476,0.846354167,,,
14,0.617135374,0.911458333,,,
15,0.662839927,0.9765625,,,
16,0.663137047,1.041666667,,,
17,0.66143719,1.106770833,,,
18,0.630589553,1.171875,,,
19,0.82781178,1.236979167,,,
20,0.702064256,1.302083333,,,
21,0.772301112,1.3671875,,,
22,0.650798834,1.432291667,,,
23,0.649320426,1.497395833,,,
24,0.665161226,1.5625,,,
25,0.749414206,1.627604167,,,
26,0.662364566,1.692708333,,,
27,0.704604632,1.7578125,,,
28,0.737206127,1.822916667,,,
29,0.727469338,1.888020833,,,
30,0.729138217,1.953125,,,
31,0.680765865,2.018229167,,,
32,0.723417734,2.083333333,,,
33,0.650800419,2.1484375,,,
34,0.636596277,2.213541667,,,
35,0.615118365,2.278645833,,,
36,0.645217997,2.34375,,,
37,0.735923136,2.408854167,,,
38,0.714513579,2.473958333,,,
39,0.700456864,2.5390625,,,
40,0.632528711,2.604166667,,,
41,0.737081771,2.669270833,,,
42,0.747002945,2.734375,,,
43,0.694155189,2.799479167,,,
44,0.690097916,2.864583333,,,
45,0.679727214,2.9296875,,,
46,0.791870587,2.994791667,,,
47,0.844423904,3.059895833,,,
48,0.733170479,3.125,,,
49,0.860477634,3.190104167,,,
50,0.857530068,3.255208333,,,
51,0.851601793,3.3203125,,,
52,0.849940262,3.385416667,,,
53,0.803217604,3.450520833,,,
54,0.917386524,3.515625,,,
55,0.886031002,3.580729167,,,
56,0.883132639,3.645833333,,,
57,0.899488089,3.7109375,,,
58,1.021713295,3.776041667,,,
59,0.964477941,3.841145833,,,
60,0.888256692,3.90625,,,
61,0.989123283,3.971354167,,,
62,1.037332679,4.036458333,,,
