,amplitude (in pu),timestamps (in ms),,parameters,values
0,-0.003755981,0,,waveform frequency,60
1,0.116492289,0.065104167,,signal duration in ms,1000
2,0.022190187,0.130208333,,signal sample per cycle,256
3,0.07514183,0.1953125,,,
4,0.102981188,0.260416667,,sag duration in cycles,20
5,0.109597875,0.325520833,,sag magnitude,0.1
6,0.154310064,0.390625,,,
7,0.207148541,0.455729167,,,
8,0.2922468,0.520833333,,,
9,0.220807942,0.5859375,,,
10,0.227157505,0.651041667,,,
11,0.340744719,0.716145833,,,
12,0.230389672,0.78125,,,
13,0.205630779,0.846354167,,,
14,0.339910784,0.911458333,,,
15,0.411712808,0.9765625,,,
16,0.386073908,1.041666667,,,
17,0.457460737,1.106770833,,,
18,0.50898927,1.171875,,,
19,0.487937548,1.236979167,,,
20,0.501066806,1.302083333,,,
21,0.538372386,1.3671875,,,
22,0.480634233,1.432291667,,,
23,0.500393509,1.497395833,,,
24,0.500378264,1.5625,,,
25,0.608224733,1.627604167,,,
26,0.601603713,1.692708333,,,
27,0.56809473,1.7578125,,,
28,0.539824381,1.822916667,,,
29,0.566675141,1.888020833,,,
30,0.705439295,1.953125,,,
31,0.716845403,2.018229167,,,
32,0.701067311,2.083333333,,,
33,0.702804023,2.1484375,,,
34,0.72698522,2.213541667,,,
35,0.72286398,2.278645833,,,
36,0.806583882,2.34375,,,
37,0.803431141,2.408854167,,,
38,0.760586008,2.473958333,,,
39,0.831351465,2.5390625,,,
40,0.85091364,2.604166667,,,
41,0.857580254,2.669270833,,,
42,0.877207361,2.734375,,,
43,0.93247745,2.799479167,,,
44,0.890660503,2.864583333,,,
45,0.952409354,2.9296875,,,
46,0.934007648,2.994791667,,,
47,0.875166782,3.059895833,,,
48,0.945829597,3.125,,,
49,0.948383708,3.190104167,,,
50,0.946763928,3.255208333,,,
51,0.920282473,3.3203125,,,
52,0.929713999,3.385416667,,,
53,0.976896123,3.450520833,,,
54,0.943051002,3.515625,,,
55,0.956551218,3.580729167,,,
56,0.949917511,3.645833333,,,
57,1.004432307,3.7109375,,,
58,0.967167685,3.776041667,,,
59,1.028754377,3.841145833,,,
60,1.005299487,3.90625,,,
61,1.047954736,3.971354167,,,
62,1.04315778,4.036458333,,,
63,1.025467255,4.1015625,,,
64,1.08526984,4.166666667,,,
65,1.115305858,4.231770833,,,
66,0.95233531,4.296875,,,
67,0.973053507,4.361979167,,,
68,0.977176811,4.427083333,,,
69,0.981363438,4.4921875,,,
70,1.035147627,4.557291667,,,
71,0.956172735,4.622395833,,,
72,1.057375623,4.6875,,,
73,1.023762185,4.752604167,,,
74,0.988879298,4.817708333,,,
75,0.97583985,4.8828125,,,
76,0.909118217,4.947916667,,,
77,0.965317132,5.013020833,,,
78,0.947844006,5.078125,,,
79,0.923354441,5.143229167,,,
80,0.800294669,5.208333333,,,
81,0.847122315,5.2734375,,,
82,0.868614598,5.338541667,,,
83,0.808682956,5.403645833,,,
84,0.892870142,5.46875,,,
85,0.834898375,5.533854167,,,
86,0.86492296,5.598958333,,,
87,0.822795377,5.6640625,,,
88,0.872375,5.729166667,,,
89,0.903623013,5.794270833,,,
90,0.80928799,5.859375,,,
91,0.719105747,5.924479167,,,
92,0.856028664,5.989583333,,,
93,0.669504815,6.0546875,,,
94,0.733773114,6.119791667,,,
95,0.763089923,6.184895833,,,
96,0.711028529,6.25,,,
97,0.608582101,6.315104167,,,
98,0.728644645,6.380208333,,,
99,0.606824518,6.4453125,,,
100,0.620442593,6.510416667,,,
101,0.462418507,6.575520833,,,
102,0.679345452,6.640625,,,
103,0.543553939,6.705729167,,,
104,0.656768048,6.770833333,,,
105,0.53640583,6.8359375,,,
106,0.474708397,6.901041667,,,
107,0.576335243,6.966145833,,,
108,0.444851222,7.03125,,,
109,0.469333887,7.096354167,,,
110,0.416307885,7.161458333,,,
111,0.421083131,7.2265625,,,
112,0.456363553,7.291666667,,,
113,0.342728285,7.356770833,,,
114,0.217908412,7.421875,,,
115,0.350893486,7.486979167,,,
116,0.339087688,7.552083333,,,
117,0.297464609,7.6171875,,,
118,0.284903778,7.682291667,,,
119,0.172435455,7.747395833,,,
120,0.134909908,7.8125,,,
121,0.108778286,7.877604167,,,
122,0.082134933,7.942708333,,,
123,0.113859446,8.0078125,,,
124,0.04167973,8.072916667,,,
125,0.009544642,8.138020833,,,
126,-0.064880304,8.203125,,,
127,-0.035991125,8.268229167,,,
128,-0.011997038,8.333333333,,,
129,-0.025938492,8.3984375,,,
130,-0.086305513,8.463541667,,,
131,-0.126282793,8.528645833,,,
132,-0.092605723,8.59375,,,
133,-0.21810531,8.658854167,,,
134,-0.182543198,8.723958333,,,
135,-0.246266035,8.7890625,,,
136,-0.149774233,8.854166667,,,
137,-0.159246294,8.919270833,,,
138,-0.195258173,8.984375,,,
139,-0.280953917,9.049479167,,,
140,-0.391912325,9.114583333,,,
141,-0.379776222,9.1796875,,,
142,-0.277139016,9.244791667,,,
143,-0.38019757,9.309895833,,,
144,-0.463439603,9.375,,,
145,-0.371190828,9.440104167,,,
146,-0.472662111,9.505208333,,,
