,amplitude (in pu),timestamps (in ms),,parameters,values
0,-0.012111473,0,,waveform frequency,60
1,-0.063283915,0.065104167,,signal duration in ms,1000
2,0.078526699,0.130208333,,signal sample per cycle,256
3,0.07496085,0.1953125,,,
4,0.121468894,0.260416667,,spike magnitude,0.4
5,0.109064505,0.325520833,,spike duration in cycles,0.5
6,-0.017506886,0.390625,,,
7,0.117420478,0.455729167,,,
8,0.129389822,0.520833333,,,
9,0.193570831,0.5859375,,,
10,0.204115571,0.651041667,,,
11,0.279841485,0.716145833,,,
12,0.213886582,0.78125,,,
13,0.247358228,0.846354167,,,
14,0.392588707,0.911458333,,,
15,0.358621891,0.9765625,,,
16,0.397640325,1.041666667,,,
17,0.379651787,1.106770833,,,
18,0.378150508,1.171875,,,
19,0.429788762,1.236979167,,,
20,0.551537902,1.302083333,,,
21,0.506937607,1.3671875,,,
22,0.476928247,1.432291667,,,
23,0.450612214,1.497395833,,,
24,0.457944526,1.5625,,,
25,0.588103089,1.627604167,,,
26,0.54487247,1.692708333,,,
27,0.658132348,1.7578125,,,
28,0.652071353,1.822916667,,,
29,0.642393075,1.888020833,,,
30,0.675461516,1.953125,,,
31,0.680648786,2.018229167,,,
32,0.690419311,2.083333333,,,
33,0.707455143,2.1484375,,,
34,0.743015256,2.213541667,,,
35,0.714166896,2.278645833,,,
36,0.727887363,2.34375,,,
37,0.746276554,2.408854167,,,
38,0.830346763,2.473958333,,,
39,0.868376166,2.5390625,,,
40,0.942510256,2.604166667,,,
41,0.886589449,2.669270833,,,
42,0.8191381,2.734375,,,
43,0.894158389,2.799479167,,,
44,0.92646136,2.864583333,,,
45,0.940085276,2.9296875,,,
46,0.909476707,2.994791667,,,
47,0.804881651,3.059895833,,,
48,0.894488001,3.125,,,
49,0.908738089,3.190104167,,,
50,0.893117261,3.255208333,,,
51,0.994493257,3.3203125,,,
52,0.967448519,3.385416667,,,
53,1.029235375,3.450520833,,,
54,0.950785238,3.515625,,,
55,0.952995599,3.580729167,,,
56,0.937896116,3.645833333,,,
57,0.938342097,3.7109375,,,
58,0.99766015,3.776041667,,,
59,0.965334375,3.841145833,,,
60,1.002329379,3.90625,,,
61,1.039491424,3.971354167,,,
62,0.95940513,4.036458333,,,
63,1.02007747,4.1015625,,,
64,0.976119885,4.166666667,,,
65,0.985283141,4.231770833,,,
66,0.988802671,4.296875,,,
67,0.992997837,4.361979167,,,
68,0.977874948,4.427083333,,,
69,0.983931113,4.4921875,,,
70,1.008308307,4.557291667,,,
71,0.993243484,4.622395833,,,
72,1.004234061,4.6875,,,
73,1.019802462,4.752604167,,,
74,0.972414298,4.817708333,,,
75,0.934548477,4.8828125,,,
76,1.02003494,4.947916667,,,
77,0.908240853,5.013020833,,,
78,0.952999482,5.078125,,,
79,0.93962111,5.143229167,,,
80,0.847465638,5.208333333,,,
81,0.931682873,5.2734375,,,
82,0.87038931,5.338541667,,,
83,0.758587692,5.403645833,,,
84,0.93369431,5.46875,,,
85,0.766595797,5.533854167,,,
86,0.846652186,5.598958333,,,
87,0.903936906,5.6640625,,,
88,0.93301111,5.729166667,,,
89,0.869091405,5.794270833,,,
90,0.836716766,5.859375,,,
91,0.79238289,5.924479167,,,
92,0.76523589,5.989583333,,,
93,0.804225421,6.0546875,,,
94,0.769309868,6.119791667,,,
95,0.721148114,6.184895833,,,
96,0.754872661,6.25,,,
97,0.719927252,6.315104167,,,
98,0.756368549,6.380208333,,,
99,0.59938316,6.4453125,,,
100,0.681738534,6.510416667,,,
101,0.703221689,6.575520833,,,
102,0.572047677,6.640625,,,
103,0.561162324,6.705729167,,,
104,0.611707093,6.770833333,,,
105,0.55914895,6.8359375,,,
106,0.54017491,6.901041667,,,
107,0.470288763,6.966145833,,,
108,0.479287513,7.03125,,,
109,0.49014147,7.096354167,,,
110,0.392226183,7.161458333,,,
111,0.451400662,7.2265625,,,
112,0.372102178,7.291666667,,,
113,0.36376702,7.356770833,,,
114,0.359247173,7.421875,,,
115,0.203000304,7.486979167,,,
116,0.360691138,7.552083333,,,
117,0.26467575,7.6171875,,,
118,0.313519521,7.682291667,,,
119,0.171308455,7.747395833,,,
120,0.12276894,7.8125,,,
121,0.18752899,7.877604167,,,
122,0.211678922,7.942708333,,,
123,0.166757579,8.0078125,,,
124,0.200409943,8.072916667,,,
125,0.117182283,8.138020833,,,
126,-0.050593384,8.203125,,,
127,0.031768873,8.268229167,,,
128,0.027700682,8.333333333,,,
129,0.057624326,8.3984375,,,
130,-0.002050661,8.463541667,,,
131,-0.008124251,8.528645833,,,
132,-0.103013059,8.59375,,,
133,-0.088290042,8.658854167,,,
134,-0.211951516,8.723958333,,,
135,-0.128394032,8.7890625,,,
136,-0.160387857,8.854166667,,,
137,-0.221435924,8.919270833,,,
138,-0.269290206,8.984375,,,
139,-0.221080683,9.049479167,,,
140,-0.173191914,9.114583333,,,
141,-0.302279591,9.1796875,,,
142,-0.413184013,9.244791667,,,
143,-0.270482847,9.309895833,,,
144,-0.406757279,9.375,,,
145,-0.352220242,9.440104167,,,
146,-0.414519362,9.505208333,,,
147,-0.519248973,9.5703125,,,
148,-0.504985985,9.635416667,,,
149,-0.459996478,9.700520833,,,
150,-0.485440901,9.765625,,,
151,-0.525078358,9.830729167,,,
152,-0.590439403,9.895833333,,,
153,-0.687944859,9.9609375,,,
154,-0.608277578,10.02604167,,,
155,-0.708916309,10.09114583,,,
156,-0.638383169,10.15625,,,
157,-0.629512933,10.22135417,,,
158,-0.69429624,10.28645833,,,
159,-0.704254158,10.3515625,,,
