,amplitude (in pu),timestamps (in ms),,parameters,values
0,0.071715593,0,,waveform frequency,60
1,-0.005993123,0.065104167,,signal duration in ms,1000
2,0.004465662,0.130208333,,signal sample per cycle,256
3,0.173574495,0.1953125,,,
4,0.162072189,0.260416667,,a3 parameter,0.15
5,0.265538637,0.325520833,,a5 parameter,0.15
6,0.221940368,0.390625,,,
7,0.362502205,0.455729167,,swell duration in cycles,20
8,0.359040855,0.520833333,,swell magnitude,1.2
9,0.350269721,0.5859375,,,
10,0.498717862,0.651041667,,,
11,0.559663394,0.716145833,,,
12,0.53250316,0.78125,,,
13,0.583789745,0.846354167,,,
14,0.617426088,0.911458333,,,
15,0.727597149,0.9765625,,,
16,0.687054061,1.041666667,,,
17,0.69414792,1.106770833,,,
18,0.588848723,1.171875,,,
19,0.645196655,1.236979167,,,
20,0.745501021,1.302083333,,,
21,0.684953733,1.3671875,,,
22,0.773693311,1.432291667,,,
23,0.670560036,1.497395833,,,
24,0.728028939,1.5625,,,
25,0.703405929,1.627604167,,,
26,0.714247946,1.692708333,,,
27,0.660810358,1.7578125,,,
28,0.63196646,1.822916667,,,
29,0.703620023,1.888020833,,,
30,0.651299848,1.953125,,,
31,0.676822825,2.018229167,,,
32,0.664331332,2.083333333,,,
33,0.685172312,2.1484375,,,
34,0.638720715,2.213541667,,,
35,0.708848479,2.278645833,,,
36,0.77834636,2.34375,,,
37,0.704557044,2.408854167,,,
38,0.685597179,2.473958333,,,
39,0.627353348,2.5390625,,,
40,0.717227187,2.604166667,,,
41,0.718221479,2.669270833,,,
42,0.77979104,2.734375,,,
43,0.73816074,2.799479167,,,
44,0.773128581,2.864583333,,,
45,0.70410414,2.9296875,,,
46,0.832333943,2.994791667,,,
47,0.768822027,3.059895833,,,
48,0.687714637,3.125,,,
49,0.824653576,3.190104167,,,
50,0.831313392,3.255208333,,,
51,0.81862048,3.3203125,,,
52,0.815961379,3.385416667,,,
53,0.838883396,3.450520833,,,
54,0.962116877,3.515625,,,
55,0.89883172,3.580729167,,,
56,0.994461885,3.645833333,,,
57,0.874060016,3.7109375,,,
58,1.010270095,3.776041667,,,
59,0.960963887,3.841145833,,,
60,0.884563824,3.90625,,,
61,1.038416372,3.971354167,,,
62,0.994626326,4.036458333,,,
63,1.002275516,4.1015625,,,
64,1.020828221,4.166666667,,,
65,0.971667409,4.231770833,,,
66,0.966315604,4.296875,,,
67,0.946623253,4.361979167,,,
68,0.974264719,4.427083333,,,
69,0.943993473,4.4921875,,,
70,1.010754136,4.557291667,,,
71,0.92508504,4.622395833,,,
72,0.981937615,4.6875,,,
73,0.948577333,4.752604167,,,
74,0.919808763,4.817708333,,,
75,0.867390183,4.8828125,,,
76,0.864702478,4.947916667,,,
77,0.804674955,5.013020833,,,
78,0.846644729,5.078125,,,
79,0.762090562,5.143229167,,,
80,0.810842959,5.208333333,,,
81,0.765694779,5.2734375,,,
82,0.794742573,5.338541667,,,
83,0.789995479,5.403645833,,,
84,0.734125912,5.46875,,,
85,0.690282239,5.533854167,,,
86,0.730384726,5.598958333,,,
87,0.798301237,5.6640625,,,
88,0.698716303,5.729166667,,,
89,0.691801025,5.794270833,,,
90,0.761235342,5.859375,,,
91,0.673311516,5.924479167,,,
92,0.732878914,5.989583333,,,
93,0.687533519,6.0546875,,,
94,0.607253903,6.119791667,,,
95,0.661007562,6.184895833,,,
96,0.680980394,6.25,,,
97,0.778647618,6.315104167,,,
98,0.717553253,6.380208333,,,
99,0.694630921,6.4453125,,,
100,0.691779421,6.510416667,,,
101,0.748995595,6.575520833,,,
102,0.647434908,6.640625,,,
103,0.724508712,6.705729167,,,
104,0.683923786,6.770833333,,,
105,0.725249779,6.8359375,,,
106,0.652502363,6.901041667,,,
107,0.699228166,6.966145833,,,
108,0.744403348,7.03125,,,
109,0.740771497,7.096354167,,,
110,0.673823245,7.161458333,,,
111,0.605071879,7.2265625,,,
112,0.616420509,7.291666667,,,
113,0.532793013,7.356770833,,,
114,0.654355061,7.421875,,,
115,0.48985604,7.486979167,,,
116,0.568042446,7.552083333,,,
117,0.514367691,7.6171875,,,
118,0.555630374,7.682291667,,,
119,0.420388017,7.747395833,,,
120,0.386239795,7.8125,,,
121,0.387794147,7.877604167,,,
122,0.287032263,7.942708333,,,
123,0.223341758,8.0078125,,,
124,0.24247739,8.072916667,,,
125,0.107433841,8.138020833,,,
126,0.098670523,8.203125,,,
127,0.160571267,8.268229167,,,
128,-0.025172788,8.333333333,,,
129,-0.042876349,8.3984375,,,
130,-0.126522403,8.463541667,,,
131,-0.136988223,8.528645833,,,
132,-0.126389743,8.59375,,,
133,-0.290225489,8.658854167,,,
134,-0.238567504,8.723958333,,,
135,-0.328303091,8.7890625,,,
136,-0.346671969,8.854166667,,,
137,-0.492060245,8.919270833,,,
138,-0.532447711,8.984375,,,
139,-0.380861615,9.049479167,,,
140,-0.447752982,9.114583333,,,
141,-0.55912512,9.1796875,,,
142,-0.532389258,9.244791667,,,
143,-0.566370738,9.309895833,,,
144,-0.625101026,9.375,,,
145,-0.805842395,9.440104167,,,
146,-0.616252817,9.505208333,,,
147,-0.709122469,9.5703125,,,
148,-0.692351605,9.635416667,,,
149,-0.690720684,9.700520833,,,
150,-0.661420574,9.765625,,,
151,-0.703844476,9.830729167,,,
152,-0.682921461,9.895833333,,,
153,-0.785006947,9.9609375,,,
154,-0.692067831,10.02604167,,,
155,-0.692885444,10.09114583,,,
156,-0.635669638,10.15625,,,
157,-0.724464842,10.22135417,,,
158,-0.655527354,10.28645833,,,
159,-0.670632809,10.3515625,,,
160,-0.763591657,10.41666667,,,
161,-0.632865596,10.48177083,,,
162,-0.692497348,10.546875,,,
163,-0.734114136,10.61197917,,,
164,-0.674503785,10.67708333,,,
165,-0.73899173,10.7421875,,,
