,amplitude (in pu),timestamps (in ms),,parameters,values
0,0.016167706,0,,waveform frequency,60
1,0.098860341,0.065104167,,signal duration in ms,1000
2,0.092093344,0.130208333,,signal sample per cycle,256
3,0.057177971,0.1953125,,,
4,0.07194565,0.260416667,,swell duration in cycles,20
5,0.107646025,0.325520833,,swell magnitude,1.2
6,0.218711143,0.390625,,,
7,0.156431323,0.455729167,,,
8,0.260970362,0.520833333,,,
9,0.249468694,0.5859375,,,
10,0.266480578,0.651041667,,,
11,0.27025721,0.716145833,,,
12,0.252327237,0.78125,,,
13,0.282044203,0.846354167,,,
14,0.415244893,0.911458333,,,
15,0.332080141,0.9765625,,,
16,0.397638776,1.041666667,,,
17,0.339814051,1.106770833,,,
18,0.431010274,1.171875,,,
19,0.495890015,1.236979167,,,
20,0.43289571,1.302083333,,,
21,0.458689683,1.3671875,,,
22,0.480040056,1.432291667,,,
23,0.545835198,1.497395833,,,
24,0.563147213,1.5625,,,
25,0.53107747,1.627604167,,,
26,0.556501225,1.692708333,,,
27,0.638641103,1.7578125,,,
28,0.564251881,1.822916667,,,
29,0.714339296,1.888020833,,,
30,0.643577282,1.953125,,,
31,0.665442284,2.018229167,,,
32,0.628613446,2.083333333,,,
33,0.692122013,2.1484375,,,
34,0.81210002,2.213541667,,,
35,0.789977702,2.278645833,,,
36,0.694935595,2.34375,,,
37,0.761803333,2.408854167,,,
38,0.818928646,2.473958333,,,
39,0.880587854,2.5390625,,,
40,0.973189899,2.604166667,,,
41,0.851126387,2.669270833,,,
42,0.872550728,2.734375,,,
43,0.908902242,2.799479167,,,
44,0.94231431,2.864583333,,,
45,0.835167194,2.9296875,,,
46,0.919768526,2.994791667,,,
47,1.016387675,3.059895833,,,
48,1.014949232,3.125,,,
49,0.928129798,3.190104167,,,
50,0.949151283,3.255208333,,,
51,1.007466946,3.3203125,,,
52,0.976407831,3.385416667,,,
53,0.959981588,3.450520833,,,
54,1.01585573,3.515625,,,
55,0.965844159,3.580729167,,,
56,0.994197952,3.645833333,,,
57,0.94212609,3.7109375,,,
58,0.931846129,3.776041667,,,
59,1.043980773,3.841145833,,,
60,0.957150658,3.90625,,,
61,0.928492052,3.971354167,,,
62,0.95011514,4.036458333,,,
63,0.989500482,4.1015625,,,
64,0.99606665,4.166666667,,,
65,0.952200928,4.231770833,,,
66,1.042030574,4.296875,,,
67,0.974498922,4.361979167,,,
68,1.022031768,4.427083333,,,
69,0.984153556,4.4921875,,,
70,1.025989754,4.557291667,,,
71,1.054999218,4.622395833,,,
72,0.941462971,4.6875,,,
73,1.020728235,4.752604167,,,
74,0.926716179,4.817708333,,,
75,1.000542221,4.8828125,,,
76,0.952059198,4.947916667,,,
77,0.955849214,5.013020833,,,
78,0.965492653,5.078125,,,
79,0.905029632,5.143229167,,,
80,0.817121852,5.208333333,,,
81,0.986038897,5.2734375,,,
82,0.976279721,5.338541667,,,
83,0.935272438,5.403645833,,,
84,0.901254659,5.46875,,,
85,0.843438146,5.533854167,,,
86,0.825967247,5.598958333,,,
87,0.91613689,5.6640625,,,
88,0.777824388,5.729166667,,,
89,0.770796364,5.794270833,,,
90,0.683169383,5.859375,,,
91,0.823303079,5.924479167,,,
92,0.76766117,5.989583333,,,
93,0.710347907,6.0546875,,,
94,0.709939713,6.119791667,,,
95,0.716346209,6.184895833,,,
96,0.691143667,6.25,,,
97,0.741380767,6.315104167,,,
98,0.69958774,6.380208333,,,
99,0.584965518,6.4453125,,,
100,0.601106072,6.510416667,,,
101,0.658458478,6.575520833,,,
102,0.611815396,6.640625,,,
103,0.535004946,6.705729167,,,
104,0.486018908,6.770833333,,,
105,0.467962387,6.8359375,,,
106,0.565769467,6.901041667,,,
107,0.445146775,6.966145833,,,
108,0.482442638,7.03125,,,
109,0.463326605,7.096354167,,,
110,0.407317241,7.161458333,,,
111,0.392565934,7.2265625,,,
112,0.39278116,7.291666667,,,
113,0.418042614,7.356770833,,,
114,0.275276154,7.421875,,,
115,0.340709476,7.486979167,,,
116,0.33566744,7.552083333,,,
117,0.314800233,7.6171875,,,
118,0.305471716,7.682291667,,,
119,0.13807242,7.747395833,,,
120,0.131814267,7.8125,,,
121,0.172271756,7.877604167,,,
122,0.140313678,7.942708333,,,
123,0.096719113,8.0078125,,,
124,0.119165696,8.072916667,,,
125,0.093163182,8.138020833,,,
126,0.106684642,8.203125,,,
