input_event_csv_filename,event_id,start_time,asset_name,manual_event_type,vab_flickers,vab_harmonics,vab_interruptions,vab_interruptions_harmonics,vab_osc_transients,vab_sags,vab_sags_harmonics,vab_spikes,vab_swells,vab_swells_harmonics,vbc_flickers,vbc_harmonics,vbc_interruptions,vbc_interruptions_harmonics,vbc_osc_transients,vbc_sags,vbc_sags_harmonics,vbc_spikes,vbc_swells,vbc_swells_harmonics,vca_flickers,vca_harmonics,vca_interruptions,vca_interruptions_harmonics,vca_osc_transients,vca_sags,vca_sags_harmonics,vca_spikes,vca_swells,vca_swells_harmonics,ia_flickers,ia_harmonics,ia_interruptions,ia_interruptions_harmonics,ia_osc_transients,ia_sags,ia_sags_harmonics,ia_spikes,ia_swells,ia_swells_harmonics,ib_flickers,ib_harmonics,ib_interruptions,ib_interruptions_harmonics,ib_osc_transients,ib_sags,ib_sags_harmonics,ib_spikes,ib_swells,ib_swells_harmonics,ic_flickers,ic_harmonics,ic_interruptions,ic_interruptions_harmonics,ic_osc_transients,ic_sags,ic_sags_harmonics,ic_spikes,ic_swells,ic_swells_harmonics
input_event_sample087,event_087,2022-06-29,test_087,test_label,1.0020417963991849e-17,6.455627188222556e-22,1.6738974113772102e-17,2.0705316731492446e-16,1.6128406343796087e-07,1.508566224522515e-22,2.975471026954044e-19,2.9818547631066394e-09,0.9999998807907104,3.115256719254944e-09,8.654818214123605e-21,1.1391763824669088e-24,6.86547679380837e-16,8.990404393434694e-18,1.587994846730112e-09,4.152733883494572e-23,1.0261681112869731e-18,8.33980351444552e-09,1.0,6.366928468823363e-13,1.0942232536725882e-10,1.8269920298852327e-11,1.0990284863510169e-05,4.40033929294259e-08,0.0002411458845017478,2.877295277037284e-11,5.389141355394145e-10,0.00012018370762234554,0.9995348453521729,9.279516234528273e-05,1.22157187143479e-10,2.9122034644890604e-12,2.5635304723437e-07,4.5355058597706943e-10,1.644699659664184e-05,3.0839773009633253e-12,2.4075499371889464e-09,0.0008108332986012101,0.9991723299026489,1.6752663611896423e-07,1.0254019855437946e-07,3.962810349709589e-20,1.4199149566903897e-14,2.4739356935509762e-15,1.965664040426418e-07,1.273878564353035e-19,1.4297248052415443e-15,4.51545201940462e-06,0.999995231628418,2.341540017436472e-10,6.766184412754228e-08,2.13344759534929e-20,8.48076068328844e-15,1.3308502257920762e-15,1.4110442236869858e-07,9.489465747292057e-20,6.349127626744517e-16,5.66470907870098e-06,0.999994158744812,2.914318231184154e-10
input_event_sample093,event_093,2022-06-29,test_093,test_label,4.9354012489384664e-18,2.6911918873939733e-12,1.8306408582666185e-18,6.9678871561507094e-09,1.4124747205190857e-10,3.465072673236591e-10,1.0,1.4548704443227146e-21,7.173266328089814e-20,5.2259744112454626e-14,8.898299221890343e-16,2.1614914658130147e-06,7.500575182429723e-18,1.9422559489612468e-05,6.655954454259927e-09,2.588890822927153e-16,0.9997721314430237,1.8166862328708455e-12,1.465615920557314e-15,0.00020629976643249393,6.427820081755797e-11,2.8023141567246057e-06,1.5291382604587511e-09,2.887784648919478e-05,1.2899204193672631e-05,3.234209998481674e-06,0.999951958656311,1.963235997382018e-12,8.965098086642642e-13,2.186420147154422e-07,1.2634705125967983e-18,2.2926147091872906e-11,2.677685489447071e-19,6.848286937533032e-10,1.942936506127424e-10,6.1363839729759295e-15,1.0,9.802475980181595e-22,3.502857054775618e-21,8.885913482619117e-15,5.353758140481425e-14,3.788246105695947e-10,7.7812927339071e-15,2.3368433176074177e-05,2.2654178977177253e-08,5.150278639121098e-07,0.9999761581420898,8.582885592854319e-18,3.836237033533103e-17,2.1551115059192938e-11,1.4331699520931939e-25,2.251797650303951e-16,2.13047112470405e-24,3.0310420839896324e-10,2.2017799909679336e-12,1.2920451106204796e-21,1.0,2.4350557412620234e-21,1.8520507786824757e-25,7.706974910147955e-15
input_event_sample00,event_00,2022-06-29,test_00,test_label,0.9998784065246582,9.645079797962238e-18,3.9987901214162314e-20,1.6153848346315593e-14,0.00012140959006501362,8.171841567143623e-13,3.2103984634782587e-20,2.80916772189345e-20,5.6918150193041583e-08,1.7682769026805545e-08,0.9999991655349731,1.4285226940562085e-19,1.2451708230037245e-13,6.299032510057121e-15,8.349290396836295e-07,9.455694040261253e-12,3.4463164960696346e-11,4.637779083738376e-16,4.6113797225189046e-08,3.436152187438757e-13,0.9999988079071045,4.656490215251152e-19,1.6401269719527184e-13,1.0769594478634171e-14,1.015706629914348e-06,1.5041856649133933e-11,5.7824328658639956e-11,1.371845773406237e-15,8.374674109745683e-08,8.556670454649973e-13,0.9999990463256836,2.099830167461568e-19,1.3344318326117405e-13,7.320759226419043e-15,8.827104807096475e-07,1.2642693315856324e-11,4.097584771489693e-11,8.533825179851554e-16,8.191325662210147e-08,8.687675145252483e-13,1.0,7.438094165449564e-30,1.2273828155692792e-29,3.102189345306971e-20,9.397246536479997e-09,9.735504718554207e-23,5.158666906182698e-23,4.172592243909869e-26,1.0892437993237358e-11,8.353625083334926e-12,0.999998927116394,4.797856932900113e-19,2.8336911267988485e-13,9.7155373617085e-15,9.155044722319872e-07,1.6040493586166882e-11,6.110205397202861e-11,1.4486043226028954e-15,7.7554489053e-08,6.095253425250635e-13
input_event_sample0289,event_0289,2022-06-29,test_0289,test_label,3.1105096254778475e-13,0.9999246597290039,1.1400569649834633e-14,5.5436892580473796e-05,3.433007655928577e-09,3.4644646092901743e-12,1.773700387275312e-05,1.0796957539182042e-13,7.741422681321604e-16,2.1976773041387787e-06,2.014245694681449e-07,0.9986444115638733,2.5081897092604777e-07,0.0002846740244422108,7.833808194845915e-05,2.1490706103577395e-07,0.0008052355842664838,3.221110819140449e-05,8.112875207189063e-07,0.0001535949995741248,5.721517552272071e-13,0.999638557434082,3.9089467340075457e-13,0.00033978550345636904,1.501734459452564e-06,1.0149590889962923e-10,1.1901011021109298e-05,1.8234875415190643e-11,1.7911368568879205e-11,8.39291351439897e-06,5.355844348749195e-13,0.9993661046028137,7.916513039725459e-13,0.0006074505508877337,2.2407514279620955e-06,8.641262705388897e-11,1.1342604011588264e-05,1.9096800529805336e-11,3.074691196092161e-11,1.286077531403862e-05,4.1063539287650164e-13,0.9999253749847412,1.4043775772290198e-14,5.6421315093757585e-05,4.081281979040341e-09,5.282157523878173e-12,1.6036212400649674e-05,1.484779503123021e-13,8.743056082108759e-16,2.1626126454066252e-06,1.6197195407130494e-07,0.9987996816635132,2.13678220006841e-07,0.00024228428083006293,6.371022027451545e-05,2.1721751863879035e-07,0.0007284284802153707,2.7671567295328714e-05,6.914517598488601e-07,0.00013699692499358207
input_event_sample044,event_044,2022-06-29,test_044,test_label,4.1293539395299935e-23,6.392951578921621e-26,1.0640166052192481e-35,5.573832046491776e-29,3.3027972175768416e-13,0.0,4.707520903744577e-27,1.9373019118359608e-31,7.723630091049927e-08,0.9999998807907104,9.394087967028133e-25,9.737953453382874e-16,3.7556962807212726e-28,6.488799290018137e-18,4.557915711522753e-10,7.50243903350171e-30,3.236741524179991e-17,6.337120815023079e-29,2.746567858943113e-17,1.0,2.0448946746678546e-32,3.8297544259846596e-29,1.3214463926497713e-33,1.015628350405233e-21,3.252894065219891e-10,0.0,3.846054981847693e-26,3.397644757386512e-32,1.130376966446444e-22,1.0,1.1572490233072944e-15,5.0840408272190274e-11,9.994263960588994e-19,8.902459880388847e-10,1.016088546634819e-08,3.367739646264817e-21,5.298294846611687e-15,1.3717941084766703e-24,1.8718237029813345e-11,1.0,2.2756722071934986e-33,7.134685002834952e-33,0.0,1.0963380893805707e-31,3.713306329089505e-10,0.0,1.9204457460231355e-30,0.0,5.703998448968651e-18,1.0,2.936330423643426e-21,2.933295763945555e-14,5.127075728777197e-25,8.996074718492508e-12,1.657606496507924e-08,5.5767947767476e-27,2.2044936405854476e-13,3.1718539471965616e-22,1.5758973537411128e-18,1.0
input_event_sample0262,event_0262,2022-06-29,test_0262,test_label,2.8387485695446912e-09,3.575779032871651e-07,3.1698658858658746e-05,1.8335873619435006e-07,0.00011972524225711823,3.4825322359210986e-07,7.253548428565182e-09,0.9998459815979004,1.5143176597121055e-06,1.7475894509288992e-08,1.082910561223116e-08,8.0295237125938e-09,1.2110727709568891e-07,1.3387676744969212e-08,2.1465459212777205e-05,8.483645452805888e-10,1.2067968846452004e-10,0.9999064207077026,7.158831431297585e-05,3.787362743423728e-07,1.2073854804839357e-06,6.109620898087087e-08,6.514400593005121e-05,9.823872915148968e-08,0.001230668625794351,1.296684644103152e-07,2.989329228597626e-09,0.9954166412353516,0.0032843640074133873,1.644681788093294e-06,1.2305690688663162e-08,2.4721970248720027e-07,9.53338803810766e-06,6.233560867485721e-08,0.0005833406466990709,2.224360997615804e-07,1.2281071271047495e-08,0.999393105506897,1.332357442151988e-05,3.055451003319831e-08,1.8757527087132075e-08,1.4992133401392493e-06,1.8387139789410867e-05,2.759505868255019e-08,0.0008395080803893507,1.064206003320578e-06,3.912751900259082e-09,0.9990725517272949,6.526128709083423e-05,1.6251518673016108e-06,2.637297491503432e-09,6.456329515458492e-08,7.744089816696942e-05,6.048397693803054e-08,0.00020009209401905537,1.6325153637808398e-06,8.167726939234399e-09,0.999651312828064,6.882975139888003e-05,5.411894221651892e-07
input_event_sample0276,event_0276,2022-06-29,test_0276,test_label,7.308031921111837e-16,6.11227897949561e-19,1.1491479199321475e-06,3.434969322868575e-11,1.2757648619299289e-05,0.9999837875366211,2.2594308575207833e-06,1.7459315243550932e-11,3.065831686828793e-14,2.1430699534781023e-17,2.0590443954894566e-13,4.467305220366266e-21,9.109405141316529e-07,1.1529601058601902e-11,6.605886255783844e-07,0.997885525226593,0.0021129094529896975,2.463789263752736e-13,9.501372778830675e-12,3.707806681992184e-15,3.145634447365708e-11,1.9113984551480563e-15,4.476083995541558e-05,1.532024818118316e-08,5.3592739277519286e-06,0.9994093179702759,0.0005405599949881434,4.4073691363166745e-09,9.680066526129849e-09,8.073436884303842e-12,6.56535242837819e-11,2.678650856680065e-09,0.000638705852907151,5.358781436370919e-07,0.00621409434825182,0.9931443929672241,1.9262483874626923e-06,2.6915441253549943e-07,4.586312440935103e-10,1.1841450042737733e-10,4.983420273663164e-11,2.8441308343435373e-17,0.00022418586013372988,1.6995629437133175e-07,1.4404311059479369e-06,0.9997683167457581,6.000411303830333e-06,2.4745427928962727e-09,3.4249438840561197e-09,1.890160255960463e-13,1.6431415960933143e-13,1.727227064987017e-14,4.7268124035326764e-05,3.637130774336583e-08,0.0007984811090864241,0.9991519451141357,2.255749905089033e-06,6.083241910204151e-09,3.1382632603715876e-11,3.6055678570828115e-14
input_event_sample050,event_050,2022-06-29,test_050,test_label,0.9999997615814209,3.4333408288659436e-26,1.8793223164735483e-25,4.6300297414313464e-20,2.438116553094005e-07,1.3518909501998885e-18,5.0588106839892875e-23,1.4360544219931345e-24,4.259597882749766e-11,3.407003845712353e-12,0.999998927116394,3.474563632728926e-19,1.2683568930381417e-13,8.302153621964504e-15,8.945527270043385e-07,1.5591672050674354e-11,4.743191603373553e-11,8.458148079970302e-16,7.04370108906005e-08,8.393459538513781e-13,0.9999994039535522,4.613967773901101e-34,2.9700308280587904e-31,6.0693522320857146e-24,6.368754270624777e-07,1.9125194273276144e-23,2.8567609141257087e-25,7.079418993461127e-28,7.87182602088321e-13,8.445667261250747e-14,0.9999889135360718,1.9758192336666428e-26,2.9794615719189493e-25,5.703385766628691e-20,1.1122043360956013e-05,1.798229026734647e-18,3.2640732385209635e-23,2.1740572674393214e-25,6.694521326178204e-11,3.9197720590189444e-12,0.999934196472168,4.9952656226437186e-27,1.3040049243083131e-24,7.434777540043893e-20,6.57967830193229e-05,4.004346934655725e-17,9.025319751310145e-23,9.231231207671232e-26,1.5227995947553197e-11,1.1495543015757614e-12,0.9999790191650391,4.608789260703532e-27,7.721634315668447e-25,5.874660621041184e-20,2.1025682144681923e-05,2.3164752994461662e-17,5.353279522589446e-23,7.350065421869795e-26,1.004846986868424e-11,6.664140268265728e-13
input_event_sample078,event_078,2022-06-29,test_078,test_label,2.2793235354701125e-10,1.1689024314448515e-12,0.9998786449432373,1.3871424016542733e-05,1.9807812350336462e-06,4.4137981603853405e-05,1.2560430473484985e-09,6.115405994933099e-05,1.2324433384947042e-07,1.7526650963883839e-10,2.144019628502747e-09,3.9260025785914365e-11,0.9996864795684814,0.0001961306406883523,1.6152085663634352e-05,7.027141691651195e-05,7.690971415286185e-09,3.068280057050288e-05,2.554784259700682e-07,5.9019666931448e-10,1.092681292669262e-10,7.917424481058023e-16,0.9996428489685059,3.0864295695209876e-05,5.360158411349403e-06,0.0003207018307875842,1.2508087010587587e-08,1.6895745602596435e-07,2.6709811251635074e-08,1.5002232312336106e-12,6.7367218470337775e-09,6.861338719410526e-10,0.9993903636932373,0.00028229571762494743,2.9758744858554564e-05,0.00025473954156041145,6.837021260253096e-08,4.2101928556803614e-05,5.735616923630005e-07,4.099064199181157e-09,4.4389797393407093e-11,6.392741967297527e-14,0.999976396560669,1.5306086424971e-05,3.306272162717505e-07,7.094049124134472e-06,2.014531208516246e-09,8.171731451511732e-07,5.3115247311552594e-08,3.030223294508971e-11,3.783905480614358e-11,9.174424457983332e-13,0.9999822378158569,1.2342238733253907e-05,5.992901606077794e-07,1.48019168477731e-07,8.738473833425076e-11,4.642671683541266e-06,2.201220716813168e-08,2.464631831955444e-10
input_event_sample0114,event_0114,2022-06-29,test_0114,test_label,1.078101563241437e-25,2.3115560387637058e-23,2.709160184648035e-31,2.1984215015543365e-21,2.4580748547720077e-10,1.0730493437312002e-35,1.3461310216712675e-28,9.936327872932603e-27,4.073155126730336e-17,1.0,4.1431187557466395e-28,4.6512938521370355e-34,9.595183393875956e-37,7.427052083243544e-26,1.336922109476668e-13,1.5687624870179272e-37,2.7686429804894744e-28,0.0,1.7803975253718324e-13,1.0,1.58247769506742e-23,4.796346780339419e-25,2.5710770543784107e-29,2.6956426499674083e-18,4.489207183072663e-12,1.544826410655996e-34,2.901718343633287e-24,5.003451595279342e-27,3.814132440872059e-14,1.0,1.7500436622525076e-19,2.5953930671285264e-10,9.06301165157935e-21,8.499502768266609e-10,1.382934877725006e-10,5.4871268271775175e-21,1.1069763994342452e-09,1.2545250398270568e-15,3.040367481911892e-19,1.0,1.429812362865347e-24,1.9363573397300883e-15,1.184101473804969e-21,1.0262550809159166e-09,6.608585206846485e-13,9.265518360322638e-29,8.1531525596558e-21,5.030064076171721e-15,6.008338763558918e-22,1.0,1.1834942922993858e-24,1.5665071795750761e-15,3.627091538312837e-26,2.288690764684631e-11,7.269068159898584e-13,1.2893370327999892e-28,1.9947378859797027e-07,1.7855717652738696e-22,3.181300016166863e-25,0.9999997615814209
